tconst,primaryTitle,startYear
tt0015724,Dama de noche,1993
tt0036606,"Another Time, Another Place",1983
tt0038687,Let There Be Light,1980
tt0059900,"Wenn du groß bist, lieber Adam",1990
tt0061876,The Commissar,1987
tt0062181,Rece do góry,1981
tt0064820,The Plot Against Harry,1989
tt0065188,"Vojtech, receny sirotek",1990
tt0065530,Le cercle des passions,1983
tt0066020,Lucky Seven,1986
tt0066498,The Ear,1990
tt0067460,My Kingdom For...,1985
tt0067625,Trial on the Road,1986
tt0067694,Die Russen kommen,1987
tt0071261,Bástyasétány hetvennégy,1984
tt0072670,Attila 74: The Rape of Cyprus,1995
tt0073122,Hooray for Hollywood,1982
tt0074208,"Bingo, Bridesmaids & Braces",1988
tt0074994,Tempyo no iraka,1980
tt0075788,"Bruce Lee, the Legend",1984
tt0076043,Fontamara,1980
tt0076276,Who's Singin' Over There?,1980
tt0076321,The Six Directions of Boxing,1980
tt0076322,Llocsi caimanta,1981
tt0076426,Music of the Spheres,1984
tt0076733,Sois belle et tais-toi,1981
tt0077173,Las apariencias engañan,1983
tt0077366,Constelaciones,1980
tt0077432,Bloody Hero,1991
tt0077475,Dráma a vadászaton,1986
tt0077484,Editie speciala,1980
tt0077648,"Habibi, amor mío",1981
tt0077722,A Ilha dos Amores,1982
tt0077883,Love Between the Raindrops,1980
tt0078304,Sowizdrzal Swietokrzyski,1980
tt0078349,Swan Lake,1981
tt0078393,Bastard Swordsman,1983
tt0078411,Totul pentru fotbal,1982
tt0078428,Two Champions of Death,1980
tt0078508,Wolf Lake,1980
tt0078769,"Amor, palavra prostituta",1982
tt0078780,Animalympics,1980
tt0078785,Anthracite,1980
tt0078791,Aquella casa en las afueras,1980
tt0078805,Outrage,1980
tt0078813,The Miser,1980
tt0078833,The Lion Carpenter,1980
tt0078842,Békeidö,1980
tt0078853,Carnapping,1980
tt0078868,Confidence,1980
tt0078871,The Queen of Black Magic,1981
tt0078876,"Ion: Blestemul pamîntului, blestemul iubirii",1980
tt0078892,"Bolívar, a Tropical Symphony",1981
tt0078894,Les bons débarras,1980
tt0078906,Brontosaurus,1980
tt0078920,Barbara,1980
tt0078926,The Good Thief,1980
tt0078941,Carlos el terrorista,1980
tt0078962,The Horse of Pride,1980
tt0078967,Chocolate,1980
tt0078983,Colargol i cudowna walizka,1980
tt0079007,The Cuenca Crime,1980
tt0079090,The Conductor,1980
tt0079106,The Imprint of Giants,1980
tt0079109,J'ai voulu rire comme les autres,1980
tt0079130,F.E.N.,1980
tt0079145,La femme flic,1980
tt0079151,Los fieles sirvientes,1980
tt0079170,"Born Wild, Run Free",1987
tt0079181,Fuego en el mar,1981
tt0079186,Fábián Bálint találkozása Istennel,1980
tt0079193,The Garage,1980
tt0079198,The Frozen Heart,1980
tt0079208,Gibbi Westgermany,1980
tt0079213,Glück im Hinterhaus,1980
tt0079232,Les grands enfants,1980
tt0079246,Guaguasi,1983
tt0079252,Le guignolo,1980
tt0079258,Habfürdö,1980
tt0079293,Space Firebird,1980
tt0079298,Hogyan felejtsük el életünk legnagyobb szerelmét...?,1980
tt0079341,El infierno de todos tan temido,1981
tt0079346,La insurrección,1980
tt0079358,Jade Dagger Ninja,1982
tt0079398,Ki beszél itt szerelemröl?!,1980
tt0079405,The Children from Number 67,1980
tt0079412,Koportos,1980
tt0079421,Troubled Laughter,1981
tt0079446,Latitude 55°,1982
tt0079507,Magnificent Wonderman,1980
tt0079524,Manoeuvre,1980
tt0079544,Memoirs of Leticia Valle,1980
tt0079553,Miedo a salir de noche,1980
tt0079564,My Days with Veronica,1980
tt0079572,Mojado Power,1981
tt0079579,Moscow Does Not Believe in Tears,1980
tt0079617,The Truth on the Savolta Affair,1980
tt0079619,Oblomov,1980
tt0079625,El nido,1980
tt0079650,"Okey, Mister Pancho",1981
tt0079680,Osobo vazhnoye zadaniye,1981
tt0079686,Otoko wa tsurai yo: Torajiro kamome uta,1980
tt0079694,Panelstory aneb Jak se rodí sídliste,1980
tt0079695,Pani Mariya,1980
tt0079712,Perro callejero II,1981
tt0079718,Piedone d'Egitto,1980
tt0079719,The Pilot,1980
tt0079729,Podróz do Arabii,1980
tt0079730,Poema o krylyakh,1980
tt0079735,The Rebel,1980
tt0079741,Poslednyaya okhota,1980
tt0079744,"Getting to Know the Big, Wide World",1980
tt0079746,Der Preis fürs Überleben,1980
tt0079749,Adventures of Ali-Baba and the Forty Thieves,1980
tt0079765,Give Me Five,1980
tt0079799,A Married Woman,1982
tt0079814,Rockshow,1980
tt0079820,The King and the Mockingbird,1980
tt0079835,S lyubimymi ne rasstavaytes,1980
tt0079839,Fun Is Beautiful,1980
tt0079845,A Leap in the Dark,1980
tt0079854,Every Man for Himself,1980
tt0079874,Never Never Land,1980
tt0079889,Sankarabharanam,1980
tt0079891,Shaolin Temple,1982
tt0079896,The Brave Archer III,1981
tt0079897,She xing zui bu,1980
tt0079924,Solo Sunny,1980
tt0079926,Solovey,1980
tt0079938,The Touch,1980
tt0079959,Strong Medicine,1981
tt0079985,The Secret Life of Nikola Tesla,1980
tt0080002,Ten Tigers of Kwangtung,1980
tt0080021,Tierra de rastrojos,1980
tt0080031,Tom Horn,1980
tt0080041,All Stars,1980
tt0080064,Irreconcilable Memories,1980
tt0080072,Utrenniy obkhod,1980
tt0080073,V moey smerti proshu vinit Klavu K.,1980
tt0080082,Vasárnapi szülök,1980
tt0080083,Vavilon XX,1980
tt0080111,Vtoraya vesna,1980
tt0080144,Woman Avenger,1980
tt0080153,Wu zhuang yuan,1980
tt0080310,Breaker Morant,1980
tt0080311,...Maybe This Time,1981
tt0080312,127 millones libres de impuestos,1981
tt0080316,The Battle of Port Arthur,1980
tt0080317,5 Flaschen für Angelika,1981
