tconst,primaryTitle,startYear
tt0025557,El negro que tenía el alma blanca,1951
tt0030998,You're Only Young Twice,1952
tt0031603,Made in Germany - Die dramatische Geschichte des Hauses Zeiss,1957
tt0032787,Mi noche triste,1952
tt0036247,Padre nuestro,1953
tt0037483,Augen der Liebe,1951
tt0038089,Siluri umani,1954
tt0038475,Dharti Ke Lal,1950
tt0040018,It's Forever Springtime,1950
tt0040266,The Dancing Years,1950
tt0040300,Doña Diabla,1950
tt0040559,La macchina ammazzacattivi,1952
tt0040775,El señor Esteve,1950
tt0040783,Si te hubieses casado conmigo,1950
tt0040846,The Art of Burlesque,1950
tt0041092,Adémaï at the border post,1950
tt0041110,Alitet ukhodit v gory,1950
tt0041117,Ambush,1950
tt0041134,The Astonished Heart,1950
tt0041136,Farewell Mister Grock,1950
tt0041141,Aventurera,1950
tt0041170,Welcome Reverend,1950
tt0041181,Black Hand,1950
tt0041225,Song of the Street,1950
tt0041227,Captain China,1950
tt0041230,The Love Nest,1950
tt0041249,Il cielo è rosso,1950
tt0041270,Cuatro contra el mundo,1950
tt0041271,The White Line,1950
tt0041302,Tomorrow Is Too Late,1950
tt0041303,Domenica d'agosto,1950
tt0041307,Women Without Names,1950
tt0041345,La familia Vila,1950
tt0041385,La forza del destino,1950
tt0041387,Francis,1950
tt0041441,Hafenmelodie,1950
tt0041479,Curtain Call at Cactus Creek,1950
tt0041538,Katka,1950
tt0041562,Cossacks of the Kuban,1950
tt0041596,The Insanities of Tin Tan,1952
tt0041608,Goose Boy,1950
tt0041635,Manèges,1950
tt0041640,La Marie du port,1950
tt0041649,Mi adorado Juan,1950
tt0041674,Myrte of the Demons,1950
tt0041686,La negra Angustias,1950
tt0041694,No Man of Her Own,1950
tt0041696,No desearás la mujer de tu hijo,1950
tt0041702,We Will All Go to Paris,1950
tt0041703,Noventa minutos,1950
tt0041719,Orpheus,1950
tt0041727,The Fall of Berlin,1950
tt0041764,La posesión,1950
tt0041773,El portero,1950
tt0041777,The Taming of Dorothy,1950
tt0041803,La revoltosa,1950
tt0041816,Rock Island Trail,1950
tt0041830,Rumbo,1950
tt0041849,Der Schuß durchs Fenster,1950
tt0041931,Stromboli,1950
tt0041979,Double Cross,1951
tt0041985,Traveller's Joy,1950
tt0041997,Twilight in the Sierras,1950
tt0042003,A Man Walks in the City,1950
tt0042005,Under My Skin,1950
tt0042013,Paris Waltz,1950
tt0042030,Volcano,1950
tt0042039,Whirlpool,1950
tt0042052,Woman in Hiding,1950
tt0042058,I'm Not Mata Hari,1950
tt0042175,47 morto che parla,1950
tt0042176,711 Ocean Drive,1950
tt0042179,Abbott and Costello in the Foreign Legion,1950
tt0042181,Across the Badlands,1950
tt0042184,Afsar,1950
tt0042187,Akatsuki no tsuiseki,1950
tt0042188,Al son del mambo,1950
tt0042190,Alina,1950
tt0042192,All About Eve,1950
tt0042193,The Straw Lover,1950
tt0042194,The Glass Castle,1950
tt0042195,American Guerrilla in the Philippines,1950
tt0042198,The Angel with the Trumpet,1950
tt0042200,Annie Get Your Gun,1950
tt0042201,Apartado de correos 1001,1950
tt0042206,Armored Car Robbery,1950
tt0042207,Arzoo,1950
tt0042208,The Asphalt Jungle,1950
tt0042211,Atom Man vs. Superman,1950
tt0042215,¡Ay amor... cómo me has puesto!,1951
tt0042217,Father Amine,1950
tt0042218,Father Wants a Wife,1950
tt0042219,Backfire,1950
tt0042222,Balarrasa,1951
tt0042226,Battle of Roses,1950
tt0042229,The Baron of Arizona,1950
tt0042230,Barricade,1950
tt0042232,Battling Marshal,1950
tt0042233,Bawre Nain,1950
tt0042235,Beauty and the Devil,1950
tt0042237,Belle of Old Mexico,1950
tt0042238,Bellezze in bicicletta,1951
tt0042239,Bells of Coronado,1950
tt0042240,Symphonie einer Weltstadt,1950
tt0042242,Between Midnight and Dawn,1950
tt0042243,Beware of Blondie,1950
tt0042244,Beyond the Purple Hills,1950
tt0042249,The Big Lift,1950
tt0042250,Highway 301,1950
tt0042252,La bisarca,1950
tt0042253,Bitter Springs,1950
tt0042254,Il bivio,1951
tt0042256,The Black Rose,1950
tt0042257,Blackmailed,1951
tt0042260,The Blazing Sun,1950
tt0042261,The Blonde Bandit,1950
tt0042262,Blonde Dynamite,1950
tt0042263,Blondie's Hero,1950
tt0042265,The Blue Lamp,1950
tt0042266,Blues Busters,1950
tt0042269,El bombero atómico,1952
tt0042273,Border Treasure,1950
tt0042274,Borderline,1950
tt0042275,Born to Be Bad,1950
tt0042276,Born Yesterday,1950
tt0042277,Bôryoku no Machi,1950
tt0042279,Branded,1950
tt0042281,The Breaking Point,1950
tt0042282,Breakthrough,1950
tt0042283,Brigada criminal,1950
tt0042284,Outlaw Girl,1950
tt0042285,Bright Leaf,1950
tt0042286,Broken Arrow,1950
tt0042287,Buccaneer's Girl,1950
tt0042289,Bunco Squad,1950
tt0042292,Bürgermeister Anna,1950
tt0042294,Cafe Paradise,1950
tt0042295,Cage of Gold,1950
tt0042296,Caged,1950
tt0042299,California Passage,1950
tt0042300,Call of the Klondike,1950
tt0042301,The Path of Hope,1950
tt0042307,The Black Captain,1951
tt0042308,Captain Poison,1951
tt0042311,Captive Girl,1950
tt0042313,The Capture,1950
tt0042314,Cargo to Capetown,1950
tt0042315,The Cariboo Trail,1950
tt0042316,Dear Caroline,1951
tt0042319,Cassino to Korea,1950
tt0042324,Chain Lightning,1950
tt0042325,Champagne for Caesar,1950
tt0042326,Chance of a Lifetime,1950
