tconst,genre,plot
tt0030998,['Comedy'],"(The IMDb storyline is incorrect.) On the evening of the inauguration of the new Lord Rector, Lord Carshenny, (Edward Lexy) a young woman, Ada Shore, (Diane Hart) arrives at Skerryvore University in Scotland in search of her long-lost uncle (Joseph Tomelty) who was once a subversive Irish poet but is now working under another name as the University Gate Keeper.
Ada is mistaken by the Principal, Sir Archibald Asher, (Patrick Barr) as his new secretary and she goes along with the impersonation. Asher and Ada fall in love which incurs the disapproval of the puritanical Professor Hayman (Duncan Macrae) whose son Adolphus (Charles Hawtrey) is meantime discovering the delights of alcohol and women.
Based on the play ""What Say They?"" by James Bridie."
tt0042184,"['Comedy', 'Romance']","Synopsis Has been Written by Mr Rais Asghar, My Uncle, on 20 August 2018 (Rashid Ashraf)AFSAR-1950Though not a blast from the past, the golden era of Indian cinema, film ""AFSAR"" of 1950, starring Dev Anand, Suriya with Kanhaiya Lal, Zohra Sehgal etc. Director Chetan Anand, Producer Dev Anand, though a really enjoyable classical comedy deep-set in a historical reality, seems to have been lost from the memory of even really old film lovers just as it has actually been lost from prints as neither DVD or Internet is available anywhere in Pakistan or even in India.The story is skillfully set in the last era of British rule when after several historical land reforms in the subcontinent, the government faced the gigantic problem of assessing the actual incomes of landlords to net them in for state revenues. For purpose of direct assessments revenue officers were deputed, while for a larger number of indirect assessments, persons were sent and dispersed to villages in disguise of varying professions and for longer periods to secretly make their own assessment of on the spot realities and of actual sources and incomes.Dev Anand a smart but long unemployed city youth unaware of the fact that persons have been secretly deputed in disguise to villages, goes along with an illiterate quirky assistant and with no equipment, bare straw furniture and with not even the barest of medical knowledge goes to a village and sets up a dispensary as a last attempt at livelihood.Soon the ludicrous village simpletons of various sizes and shapes with rustic attires, accents and ways, a real entertainment to watch in the film, finding Dev Anand far removed from their lot, start spying on his activities, peeping in the dispensary through its falling windows and holes, and begin to spin up tales of him being of the disguised agents rumored to have been sent to asses incomes and their sources, and cook up their stories so convincingly that the owner of the entire village, the landlord, already under fear of losing some of his income and even property to the state, believes his men and their tales.He invites Dev Anand to his impressive haveli, gives him a reception and respect and starts discussions on some medical issues. However the unconvincing, naïve and evasive replies of Dev Anand on medicine further leads the landlord to believe that he is really the agent sent by the state to rope him and his vast income. He offers Dev Anand to stay at his haveli and Dev by now having realized what his is being mistaken for, starts skillfully playing the role of his mistaken identity or rather misperceived identity. The landlord introduces Dev Anand made purposely as a permanent guest to his daughter who is learning dancing and music, and she entertains Dev Anand with some classical songs and dances which are a part of the film.Without much time and effort while staying at the haveli Dev Anand seduces her by his charms into a relationship without thinking of the consequences.The landlord had been advised by his men that whatever reports Dev Anand sends to his superiors in the city will necessarily go through the village post office where by design it can be checked and brought back to the landlord to have him see its contents.Call it misfortune or climax to come Dev Anand sends a letter to a friend in his city, narrating to him how he is enjoying in the village due to a mistaken identity. He also comments on each, the landlord his daughter and village folk, and their idiosyncrasies in the most humorous and somewhere disparaging words. This letter by scheme lands back in the hands of the landlord and read in a village gathering.Dev Anand is also informed by some one of the letter falling into the villagers hands, and he plans to escape. However he confides to the landlords daughter that he is not the one they all are thinking to be, but is just an unemployed miserable young man, who had come to set up a dispensary in the village. The heroine says she accepts he as he is and will always be his companion, and both plan to run away from the village and make for the small railway station.In the meantime the villagers, who had read the letter exposing Dev Anand, and his sarcastic comments about all in the village, and knowing that he has fled with the landlord's daughter, run towards the railway station. While they are after him, chasing the pair ferociously, Dev and his eloping lady miss the train by a few minutes. What happens can be well imagined, but the end is not within the memory of this writer.Any person who can get a print of the movie or knows from where it can be got both in India and Pakistan, are requested with thanks to respond."
tt0042192,"['Drama', 'contentRating', 'Passed']","At a prestigious awards ceremony, the celebrities of the theatrical world gather to honor one of their brightest new stars: the amazing young Eve Harrington (Anne Baxter), whose meteoric rise to fame is unprecedented. Looking on from the audience are many other famous thespians and figures of the theater: the well known director Bill Simpson (Gary Merrill), the successful playwright Lloyd Richards (Hugh Marlowe) and his wife Karen (Celeste Holm), and one of the brightest stars of Broadway, the incomparable Margo Channing (Bette Davis). All look upon Miss Harrington with a mixture of distaste and disgust on their faces, while off to the side sits the well known and often reviled theater critic Addison DeWitt (George Sanders), who, with a bemused look on his face, begins to recount Eve's recent past. He, better than anyone else, knows all about Eve.Not so long ago, Eve was just a star-struck young woman, waiting outside the stage door night after night, hoping to catch a glimpse of her idol Margo Channing. Finally noticed and brought in by Margo's friend Karen, Eve gushes her unworthiness and gratitude, and manages to ingratiate herself quickly into Margo's life as a general assistant. She also impresses Margo's long-time mate Bill as a helpful and guileless girl who wants nothing more than to be of use. Before long, Eve is living in Margo's home, answering telephones and bringing her breakfast in bed. Birdie, Margo's maid (Thema Ritter) begins to dislike Eve, and tells Margo that it's unnerving the way Eve studies her every move. She can sense trouble brewing.Thus alerted to Eve's behavior, Margo become's suspicious, and while all around assure her that Eve is an innocent kid just trying to help, she begins to see plots and schemes everywhere. Holding a party for Bill's birthday, Margo gets a little too drunk and angrily abuses everyone. Confiding in Karen after Margo's stinging accusations, Eve asks a favor: could Karen possibly put in a good word for her with her playwright husband? She's consider it the greatest thing in her life if she could serve as Margo's unworthy understudy the new play he's writing.Karen gladly assents, and all too soon Eve gets her chance to show her own abilities. Margo is famous for being late, and at an ordinary read-through which she fails to attend, Eve upstages Margo badly, astonishing the critic DeWitt with her wonderful abilities. Suddenly there's a new kid in town, and under her very nose Eve is stealing all of Margo's attention. Stunned by Eve, Margo has an angry confrontation with Bill, who decides it's time he said goodbye. Karen and Lloyd have also become fed up with Margo's attitude towards Eve, and Karen decides to teach her old friend a lesson. A suspiciously empty gas tank prevents Margo from returning from a weekend getaway in time for that night's performance, and Eve takes the stage. The performance is very good, and Addison DeWitt begins to take more than a passing interest in the career of Miss Harrington. Waiting outside her dressing room, he overhears Eve as she tries to seduce Bill away from Margo. Bill refuses her advances, and DeWitt steps in to the opportunity.His review in the paper lauds Eve and quotes her as saying some rather nasty things about Margo Channing. Shaken into the realization that Margo has been justly suspicious of Eve all along, Bill returns and Lloyd and Karen rally around their old friend. Bill even proposes marriage to Margo, and they all celebrate over dinner, but a note arrives for Karen during the meal. Eve is waiting in the ladies room, begging Karen to listen to what she has to say. Curious but armed with complete distrust, she finds Eve lamenting this terrible turn of events. DeWitt has twisted her words she claims, and the last thing in the world Eve wanted was to hurt her idol Margo.For a moment, Karen believes Eve is sincere, and reassures her that Margo will recover. Rising to leave, Eve asks another favor. She wants Karen to make sure the lead in her husband's next play is given to her. Eve is suddenly hard and cold, and Karen, confused, refuses at first. Eve however has a nasty threat to hold over Karen. She'll reveal to DeWitt just who it was that arranged that empty gas tank, and kept Margo out of the city. Stunned, Karen must assent, and returns to the table not knowing just what to do. Margo announces she's decided not to be in that new play Lloyd's writing anyway, and Karen is forced to laugh at the bizarre turn of events while the others wonder just what is so funny.Soon Eve is on stage as the lead in Lloyd's play, with Bill reluctantly directing. Everyone is fighting backstage, but Eve reveals herself as a master at manipulation, coddling and soothing everyone to keep them working together, all the while driving wedges into their relationships. She also begins to work on stealing Lloyd away from Karen, and by the time they are ready to open off Broadway, Eve has set the stage for her greatest triumph. Addison DeWitt has followed events closely and has become Eve's closest adviser, attending the rehearsals. Walking her back to the hotel in the afternoon before opening night, he implements a plan of his own. Telling Eve that he will be taking control of her career, she becomes angry with him and tells him to get out. She announces that Lloyd is leaving Karen for her, and once she has him under her control, there will be no limit to what she can achieve.DeWitt has other plans. He has had a long talk with Lloyd's wife Karen, and he know much more than Eve thinks. He also knows that Eve herself is nothing what she seems; she has lied about her past, her name, everything in fact, and he now has the power to wreck her career before it really starts. Also, Lloyd is not leaving his wife for her. Eve will now do as he says.""You're an improbable person, Eve,"" he says, ""but so am I. We have that in common. Also a contempt for humanity, an inability to love or be loved, insatiable ambition - and talent. We deserve each other."" Finding her own manipulations turned against her, Eve is forced to accept DeWitt's terms. She collapses on the bed in tears.And so we return to the prestigious ceremony where the wonderful Eve Harrington is accepting an award from a room full of her peers. Cold and calculating, she has achieved all her ambitions at the cost of all trust or friendship. Margo Channing will go on being Margo Channing, and Eve will be left to her own bitterness at being under Addison DeWitt's control. Returning to her empty hotel room, she pours a drink, and is startled to see a young woman sleeping in a chair behind her.""Who are you?"" demands Eve angrily. The young woman is Phoebe, a high-school girl who admires her immensely. The doorbell rings, and Eve, too tired to answer it, accepts Phoebe's offer of help. At the door is DeWitt, returning with Eve's forgotten award. In a glance, he takes in Phoebe and all her shallow ambition, and as he leaves he smiles sardonically, knowing that the cycle is beginning all over again."
tt0042208,"['Crime', 'Drama', 'FilmNoir', 'Thriller']","A group of career criminals including Dix Handley (Sterling Hayden) is pulled together by a criminal mastermind Doc Riedenschneider (Sam Jaffe) for a jewel heist and their contact for fencing the stolen goods is a corrupt lawyer Alonzo Emmerich (Louis Calhern) who plans to take the stolen take and escape to Europe. The plan is put into place, but Doc Riedenschneider has heard a rumor that Emmerich is up to no good, and asks Dix to help him insure that they collect their money from the lawyer. The robbery is completed but not without one of the crew, Louis (Anthony Caruso) getting shot by an armed guard. Dix and Doc Riedenschneider take the jewels to Emmerich where Dix kills a Private Detective Bob Brannom (Brad Dexter) that the lawyer has brought in for protection. Doc convinces Emmerich that the police will arrest him unless he goes to the insurance company and offers to sell back the jewels and gets the money to him and Dix. Dix himself is shot in the exchange with Emmerich and gets progressively weaker as he and Doc get away. When the police confront Emmerich he fatally shoots himself. Dix convinces the Doc to take some money and escape because he plans to go back to Kentucky, his home state to get away from the police. Doc stops to look at a young girl dance and is caught by the police before he escapes. Dix drives with Doll (Jean Hagen) back to his home but dies before Doll can get him to turn himself in to the police."
tt0042249,"['Drama', 'War']","THE BIG LIFTThe Soviet Union withdraws from what was the Allied government of Berlin, and subsequently blocks off roads and railways into the city, so that the areas controlled by the US, Britain, and France can get supplies only by flights into Tempelhof Airport. At various air bases throughout the world, USAir Force planes and crews are directed to fly to the Frankfurt/Main US air base to help supply West Berlin with food, coal, and other necessities. The film concentrates on two American sergeants who know each other, Danny McCullough (Montgomery Clift), and Hank Kowalski (Paul Douglas) as they fly in from Honolulu.Hank, Danny and others in their group arrive in Frankfurt/Main air base and are assigned temporary quarters there, and soon begin to shuttle from Frankfurt into Berlin. The procedures in the cockpit and the landing descents into runways in the heart of a built up city are shown in some detail. Danny is in charge of cockpit checklists for the pilots who are flying. Hanks job is related to radar control of the approaches to land. Some sequences explain how the approach control works.For several months, they are confined to the airport while in Berlin. When Danny and others in the crew arrive in Berlin in what is flight number 100,000 of the airlift, the German authorities in the city welcome them in a special surprise ceremony that involves an extensive honor guard parade, and souvenir gifts presented by a municipal leader, a young boy, and comely war widow Frederika Burkhardt (Cornell Borchers). A newsman covering the event encourages Frederika and Danny to kiss after the presentation, to get good pictures for his story.Danny is much taken with Frederika, and after a brief chat gets an address for her and the phone number or a neighbor, where he might reach her if he ever gets permission to visit the city.Motivated by his attraction for Frederika, Danny makes arrangements for public relations activities with the newsman as a way of getting blocks of time to spend in Berlin outside the airport. Meantime, Hank has been assigned ground work at Tempelhof.The first time Danny gets time in Berlin outside Tempelhof, the camera follows him as he tries to find Frederika, and this gives an excuse for showing scenes of streets and avenues demolished by the war, of people surviving as best they can, and some of the black market activity.Danny finds Frederika gathering up rubble to recycle bricks with a crew of women working under a male foreman. He can only talk with her briefly to make a date for later. Later, Danny gives out cigarettes, and paint spills on his uniform. Federica takes his clothes to a cleaner, he takes a bath and borrows clothes from the neighbor..The neighbor with a phone is Stieber (O. E. Hasse). He has a phone because he is a spy for the Soviets, who is assigned the task of counting and identifying the airplanes that land at Tempelhof, since the apartment has a window overlooking the approach path. Stieber explains that he documents the flights for the Soviets, who do not trust the official information given in the newspapers. Since the official information is correct, he purposefully miscounts the planes downward in his reports so the Soviets keep him at his job.
The cleaning shop closes early, as the owner has a family emergency that takes him to the Soviet sector. Frederika and Danny take a subway to find the owner and retrieve a key. On the ride, they cross into the Soviet sector and there is an inspection for contraband. A man carrying dozens of coffee bags under his coat manages to divert the attention of the inspectors by denouncing a fellow passenger for having ONE coffee bag under her hat. After failing to retrieve the uniform, they meet Hank and Gerda (Bruni Lobel) in a restaurant with live entertainment. Hank orders Gerda around, answers for her, while giving his opinion that Germans are too submissive to fathers, and that prepared their psychology to follow Hitler. Danny points out that Hank is treating Gerda just like that. Hank argues back but changes his attitude toward Gerda. He tries to explain democracy to her.Hank does not hide his anti German attitudes. He demands that Frederika give an account of her background, and she claims that her husband had disappeared after being arrested by the SS, and that her father had been a somewhat outspoken anti Nazi.While at the restaurant, police come in checking identity papers. Danny doesnt have any, but manages to escape the check by pretending to be one of the entertainment jazz trio, which with him becomes a quartet.At the restaurant, Hank sees a man at another table and he seems familiar. As the man leaves, he thinks he recognizes him because he has a limp, and follows him out. After following him for some distance through areas deserted because of war damage, he calls him Felix. The man pretends not to speak English but Hank is sure he was the guard that tormented and beat Hank while he was a war prisoner, and exacts revenge by turnabout. Danny, Gerda and Frederika catch up with Hank and try to stop the beating. As Military Police arrive, and Danny runs with Frederika into the Soviet sector by crossing the Brandenburg gate. At the Soviet check point Frederika claims that Danny is her husband. At first they are believed, and they walk on, but other Soviet sector guards catch up and try to arrest them. A crowd gathers, guards from the British and French sectors intervene, the location of the borders is disputed, and in the confusion Frederika and Danny get away.In the apartment Danny wakes after 3 in the morning. Frederika has electricity from 3 to 5 AM and is ironing his uniform. In their chat, she realizes that Danny loves her.Danny successfully returns to duty even though his uniform has shrunk. Some time later Hank shows Danny documents showing that Frederika has lied, that her husband had volunteered early into the SS. Frederika admits she lied, but she explains their dire needs to survive, to make him sympathetic. At first, Danny decides to end the relationship, realizing that Frederika is capable of deceit. As he walks away in a street of ruined houses, a section of wall falls down. However, he returns some time later.As he arrives back to the Frankfurt base, a group of sailors from the Navy are also arriving to help in the airlift. A comical sequence follows in which the Army guys sing the Navy song and vice versa, in good natured rivalry ribbing.At the base, Danny asks permission to marry a German citizen, and his commanding officer explains the rules and regulations and time frames. Because of the success of the air lift at that point, replacements are coming in, there is a good chance that Danny would be sent back soon, so there is time schedule pressure on his marriage arrangements.In a comic relief sequence, Hank tries to explain America and its values to Gerda, how people of different nationalities live in New York City peacefully, and how Americans are not persecuted or put in prison for expressing criticism of their government.We see how the neighbor Stieber has become suspicious because Frederika receives letters mailed from the USA, and opens them first, even though letters from Danny have arrived simultaneously.Eventually Danny learns he scheduled to leave on the next Friday. Danny talks with Frederika through a fence of the airport compound, and they make arrangements to hurry the paperwork so they can marry before his departure back to the USA.Complications arise because of weather, as fog forces cancellation of flights. Danny gets on a plane that departs in a short moment of less fog, but then has a burning engine that triggers an emergency landing. This gives an excuse for a sequence that shows how radar radar is used for foggy landings, as Hank and gives the plane landing instructions by radio. They land safely.Eventually after much frantic running around, Danny finds Frederika in Berlin and makes the appointment to marry. Hank and Gerda are to be the witnesses. At the last minute, Gerda argues with Hank about her rights and throws him out of her apartment, but he changes tone and attitude and she relents. Meantime, Frederika asks an emergency favor from Stieber, to mail an important letter. Stieber, suspicious, opens it and reads how she plans to meet another man, a man she loves, in America. As Hank and Gerda wait at the office where the marriage would take place, Danny arrives first, and then after Frederika show up, Danny comments that maybe she would like to go to St. Louis instead of St. Paul. He has the incriminating letter and lets Hank read it. Danny walks away. Gerda follows him and says she has decided to stay in Germany to help make it better. Hank informs Danny that he has been reassigned to permanent duty, and he now speaks fluent German. They say goodbye.An airplane departs in the partially cleared fog. A last image shows a bunch of crows walking on the ground. This is a reference to an earlier comment by Hank, that the US Air Force flies even when birds stay on the ground."
tt0042275,"['Drama', 'FilmNoir']","The night before she is supposed to host a party for her artist friend Gobby, Donna is forced to deal with the arrival of her boss John Caine's niece Christabel, who has arrived in the city to attend business college. Donna's fiancé Curtis arrives, and Christabel becomes immediatly interested in him when she is told that he is extremely wealthy. Before the party, Curtis confides to Christabel that his wealth is sometimes a burden as people expect him to apologize for having money. Christabel assures him there is no need. At the party, Christabel meets Nick Bradely. Nick is immediately attracted to Christabel and hits on her, though she rejects his advances. A few weeks later, Christabel is having dinner with Nick, who has been pursuing her. Christabel tells him that she was raised by a poor aunt, and Nick observes that she is 'two people.' On one side, an ambitious fortune hunter who wants to give herself everything she's never had, and on the other side, a normal unaffected young woman, who he likes. Nick kisses her, and then Christabel kisses Nick. Christabel, having dropped out of business school, is having her portrait painted by Gobby. Curtis calls her, and tells her he desperately needs her advice on something. Christabel breaks a date with Nick, who she has been seeing, to visit Curtis. It turns out that his dilemma is what to buy Donna as an engagement present. Christabel tries to talk Curtis into buying her a cheap trinket, but Curtis takes the shop assistance's advice and buys an expensive sapphire necklace. Later, when Curtis gives it to her, Christabel expresses shock that Donna would accept such an extravagant gift, and Donna becomes flustered. At the opening of Gobby's exhibition, Curtis confides in Christabel that he is worried Donna is marrying him for his money. Christabel maliciously suggests that a pre nuptial agreement would reveal whether or not Donna truly loves Curtis. Later that night, at the end of a date, Nick proposes to Christabel. When she gets inside, she finds Donna packing, deeply upset at Curtis's implied mistrust. Donna tells Christabel that she knows she secretly sabotaged her marriage. The next day, Christabel's uncle informs her that she is going back home, as she dropped out of business school and therefore has no reason to stay in the city. He also tells her that Nick is moving to Boston. That night, at a charity ball, Christabel seizes her opportunity and throws herself at Curtis, telling him that she has been in love with him the whole time and can no longer suppress her feelings. They become engaged. When she returns home, however, she finds Nick asleep on the sofa waiting for her. When Christabel tells him she is going to marry Curtis, Nick becomes angry and tells Christabel that she will never be happy or satisfied with Curtis because she is not sexually attracted to him. Nick storms out, feeling embittered and leaving behind a disillusioned Christabel.Six months later, Christabel has thrown herself into social societies and clubs to avoid having to spend time with Curtis. Christabel's ill aunt Clara has been living with them, but Christabel, afraid that she will convince Curtis to stop spending money on her. Curtis tells her that he wants for them to go away alone together for a weekend, but Christabel uses a charity ball she is organizing as an excuse. At the ball, Christabel runs into Nick, who is promoting his new book. Going alone into a courtyard, Christabel reveals that she is unhappy and confused, and that she misses Nick and wants to see him again. Nick rebuffs her, telling her that although he loves her, he doesn't date other mens' wives.Later that night, Curtis, having seen Christabel disappear down the courtyard steps with Nick, tells her that he wants them to go away. He becomes suspicious when she agrees to leave on Tuesday, knowing that Nick leaves on Monday. He informs her that they should go away right at that moment, even though it was late at night. Christabel reluctantly agrees.The next day however, when Curtis comes home from riding, he finds a note from Christabel telling him she has gone to visit her sick aunt. Of course, Christabel has been with Nick in his hotel room all day. She has told him that she has made up her mind and intends to leave Curtis. Nick realizes, however, when Christabel refuses to let him drive her back to Curtis, that her plan is to have an affair with him until Curtis finds out decides to divorce her, therefore not forfeiting any money she may get in a divorce settlement. Nick is disgusted and after pronouncing her incurably selfish, kicks her out. Christabel returns home flustered, and lies to Curtis that she had been with her aunt all day, reading to her and feeding her hot soup. Her uncle John interrupts and informs her that her aunt Clara died earlier in the day and that he had been trying to contact her all afternoon. Curtis gives her five days to move out. Gobby helps Christabel move out, and when asking her why she doesn't want any furniture, Christabel replies it would only remind her of happier times. Gobby refers to a pile of furs in the back of her car and asks her, won't they remind you? Christabel grins and says she'll simply just have to force herself. Gobby asks Christabel as one last favour, that she please get involved in another scandal. He'll be able to sell her portrait for much more."
tt0042286,"['Drama', 'Romance', 'Western']","Indian scout Tom Jeffords (James Stewart) is sent out to stem the war between the Whites and Apaches in the late 1870s. He learns (through an uncomfortably close encounter) that the Indians kill only to protect themselves, or out of retaliation for white atrocities. Befriending the sagacious Apache leader Cochise (Jeff Chandler), Jeffords ensures safe passage for white mail-carriers through Indian territory. As he becomes closer to his Native American ""brothers"", Jeffords falls in love with and weds a pretty Apache girl (Debra Paget). This being a 1950 film (miscegenation was frowned upon by the Production Code), you can guess what happens to her. Jeffords wants to avenge his bride's death at the hands of white renegades, but it is the so-called ""savage"" Cochise who advises him not to. Having learned much from each other, Jeffords and Cochise symbolize the white/Indian detente with the traditional broken arrow. This superb, non-condescending film has been criticized in some circles because of the alleged depiction of Cochise as an Indian ""Uncle Tom"", and because actor Jeff Chandler was not a genuine Native American. Nonetheless, Broken Arrow stands the test of time far more successfully than the later, politically correct Dances with Wolves. In 1956, Broken Arrow was adapted into a TV series starring John Lupton as Jeffords and Michael Ansara as Cochise."
tt0042296,"['Crime', 'Drama', 'FilmNoir']","Among the new arrivals at the Women's State Prison is nineteen-year-old Marie Allen, who has been sentenced as an accessory in a gas station robbery during which her husband was killed. Marie's physical examination reveals that she is pregnant, and so Ruth Benton, the warden, assigns her to work as a checker in the laundry. When Evelyn Harper, the matron of Marie's cell block, who exchanges favors for money, learns that Marie has no money, she reassigns her to cleaning the cells. Marie is befriended by toughened convicts Smoochie, Kitty Stark and Claire, who reveal that, like Marie, most of the women are in prison because of men. As her pregnancy advances, Marie becomes ill. Although she will still be in jail when the baby is born, Marie hopes that her mother and stepfather will care for the child until she is paroled. Kitty suggests that Marie join her shoplifting racket when she gets out, explaining that even if she is paroled, she will be forced to stay in jail until she is offered a job. Marie, however, turns the offer down. One of the convicts then has a psychotic breakdown, and when June, another convict, is denied parole, she hangs herself. After Marie goes into early labor, the volunteer doctor expresses his disgust at prison conditions, and Benton makes a proposal to the medical board that her budget be increased. Benton is aware of Harper's sadistic treatment of the women, but her efforts to have the matron fired are always stymied by Harper's political friends. Similarly, her demands for teachers and a psychologist are denied by the prison board. After Marie's mother refuses to take her baby, he is put up for adoption, and as Marie's parole hearing nears, Kitty renews her job offer. Despite Benton's favorable recommendation, Marie's parole is denied. Meanwhile, Elvira Powell, an enemy of Kitty's, is sent to prison. Her wealth easily buys Harper's favoritism, and she is made comfortable. Elvira tries to befriend Marie and recruit her for a call girl ring, but Marie remains loyal to Kitty. One day, while Kitty tries to train a convict in shoplifting techniques, a more hardened Marie demonstrates how easy it is to fool a spotter. Elvira then suggests that Harper inform Benton that Kitty is recruiting women for her shoplifting ring. Kitty is placed in solitary confinement and beaten. After Marie finds a lost kitten, Harper's efforts to remove it lead to a riot. As punishment, Benton rescinds all privileges for the woman and sentences Marie to solitary confinement. Without Benton's knowledge, Harper shaves Marie's head, and Benton again tries to have Harper removed from her position. Harper's friends see that her efforts backfire, and Benton is asked to resign. After Marie returns from the hospital, Kitty kills Harper with a fork. Determined to leave prison at any cost, Marie asks Elvira for help and obtains parole. Despite her efforts, Benton has been unable to reform her prisoners, and after Marie leaves, instructs her secretary to keep her file active, because ""she'll be back."" Written By --- Robert D Knapp"
tt0042313,"['Crime', 'Drama', 'Western']","Running from the Law, and with a badly injured arm, Lin Vanner (Lew Ayres) takes refuge in a priests' home and tells him how and why he has ended up in this condition. It turns out that Vanner was working as an oil man when the company payroll was stolen. After a posse heads out the wrong way in pursuit of a suspect Vanner reasons that the criminal may be heading in a different direction. He heads out after him, but not knowing his identity shoots who he believes is the crook, Sam Tevlin (Edwin Rand) who claims he did not steal the money. When Tevlin is severely questioned by the company owner Mahoney (Barry Kelley), and dies Vanner is stricken with guilt, resigns and goes to a nearby town to take a job as a cattle rancher. When Vanner discovers that the ranch owner he is working for is Ellen Tevlin (Teresa Wright), the widow of the man he shot and killed, his first impulse is to run, but Vanner is compelled by his curiosity as to why Sam may have committed the crime. Ellen's good nature changes to cruelty when she discovers that Vanner was the man who killed her husband. When Vanner confesses his uncertainty about Sam's guilt, Ellen confesses that they were an estranged couple and this allows the two to fall in love. Vanner is compelled to discover the truth about Sam's involvement in the company robbery and after investigation discovers the real criminal and accidentally kills him attempting to bring him to justice and causing the police to pursue him to the priest's home."
tt0042324,"['Action', 'Adventure', 'Drama']","A few years after being discharged from the military, the now broke and bored Matt Brennan met old Army Air Force buddy Hinkle and was subsequently offered a job as the chief test pilot of an experimental jet plane JA-3, and found himself reunited with the ghosts from his past.The project was fully sponsored by tycoon Leland Willis, and developed by Carl Troxell, an aviation scientist who had tagged along on Matts last B-29 mission and remained highly impressed by his experience and field knowledge. Also coming back into Matts life is old flame Jo Holloway, now Willis' secretary, with whom Matt had a serious relationship during the war, but purposely lost touch with due to his disillusionment with the post-war civilian life.Willis wanted a working JA-3 as soon as possible, so that he could get both fame and fortune; Carl, on the other hand, believed that JA-3 could not be considered complete without safety measures for the pilot. Matt saw a chance for grabs and came up with a plan that would get Willis what he wanted - a record-breaking flight from Nome to Washington DC, via the North Pole, to impress the government - at the cost of $30,000.Carl was disappointed by Matt's lack of concern for human beings and became determined to complete building the escape pod he had been developing and test fly the JA-4 (JA-3 equipped with the escape pod) before Matt was to land in Washington DC. He died trying.Matt's record-breaking flight was a success and he now had enough money to marry Jo and settle down. Carl's death and dying message brought back his conscience. He decided to use the JA-4 and test Carls theory by flying it for the official government demonstration."
