tconst,primaryTitle,startYear
tt0015724,Dama de noche,1993
tt0059900,"Wenn du groß bist, lieber Adam",1990
tt0065188,"Vojtech, receny sirotek",1990
tt0066498,The Ear,1990
tt0072670,Attila 74: The Rape of Cyprus,1995
tt0077432,Bloody Hero,1991
tt0081721,Vincent and Me,1990
tt0084015,Goodbye Paradise,1991
tt0084870,Memories and Confessions,1993
tt0085641,Fellow Citizen,1995
tt0090665,Halfaouine: Boy of the Terraces,1990
tt0091899,The Scarlet Scorpion,1990
tt0092024,El sueño de Tánger,1991
tt0092507,Abhimanyu,1991
tt0093061,Funkytown,1998
tt0093210,La hora 24,1990
tt0093309,The Ultimate Vampire,1991
tt0093662,Object of Desire,1990
tt0093989,Slaughter in Xian,1990
tt0094045,Storme: Lady of the Jewel Box,1991
tt0094073,The Sun and the Moon,1990
tt0094234,Vado a riprendermi il gatto,1996
tt0094841,The House of Smiles,1991
tt0094857,Fatal Termination,1990
tt0095111,Escape,1991
tt0095290,Lethal Angels,1990
tt0095394,Jericho,1991
tt0095450,King of Chess,1991
tt0095469,Ku jia tian xia,1998
tt0095902,Primo Baby,1990
tt0096107,Seven Days a Week - CITY LIFE - Warsaw,1990
tt0096174,Stela,1990
tt0096296,Tragediya v stile rok,1990
tt0096397,Vita da cane,1992
tt0096500,Zbabelec,1990
tt0096513,Outlaw Brothers,1990
tt0096752,Abrahams Gold,1990
tt0096811,An le zhan chang,1990
tt0096845,Atlantic Rhapsody - 52 myndir úr Tórshavn,1990
tt0096857,L'Autrichienne,1990
tt0096859,L'avaro,1990
tt0096937,Blagorodnyy razboynik Vladimir Dubrovskiy,1990
tt0096984,Brodyachiy avtobus,1990
tt0096992,Bumazhnye glaza Prishvina,1990
tt0097062,"Chyornaya roza - emblema pechali, krasnaya roza - emblema lyubvi",1990
tt0097106,A Tale of Springtime,1990
tt0097122,Um Crime de Luxo,1991
tt0097140,Cézanne - Conversation with Joachim Gasquet,1990
tt0097253,Dezha vyu,1990
tt0097339,Father,1990
tt0097348,The Unmatchable Match,1990
tt0097394,The Fortune Code,1990
tt0097416,Kadhalan,1994
tt0097462,Guerriers et captives,1990
tt0097475,A halálraítélt,1990
tt0097535,Hu dan nu er hong,1990
tt0097571,In Fading Light,1991
tt0097578,"Inimene, keda polnud",1990
tt0097585,Bathroom Intimacy,1991
tt0097615,Je t'ai dans la peau,1990
tt0097619,"The Fun, the Luck & the Tycoon",1990
tt0097666,Killer!,1990
tt0097668,King of the Wind,1990
tt0097683,Kramarz,1990
tt0097709,Landstrykere,1990
tt0097738,The Legend of the Mask,1991
tt0097743,Lichnoe delo Anny Akhmatovoy,1990
tt0097765,A Summer to Remember,1990
tt0097766,Lo que le pasó a Santiago,1995
tt0097802,"Mado, poste restante",1990
tt0097833,March Caresses,1990
tt0097848,Mother,1990
tt0097850,¡Maten a Chinto!,1990
tt0097851,Mathilukal,1990
tt0097875,Meteo,1990
tt0097884,May Fools,1990
tt0097894,The Missing Reel,1997
tt0097912,Morir en el golfo,1990
tt0097949,"Märkische Heide, märkischer Sand",1990
tt0097968,Nezný barbar,1990
tt0098004,Nochevala tuchka zolotaya...,1990
tt0098018,"O, xiangxue",1991
tt0098030,Ono,1990
tt0098050,Ovejas negras,1990
tt0098077,Peraustrínia 2004,1990
tt0098139,Warsaw Bridge,1990
tt0098144,La punyalada,1990
tt0098150,Magic Cop,1990
tt0098244,"Saturday, Sunday and Monday",1990
tt0098294,La settimana della sfinge,1990
tt0098405,Stuk v dver,1990
tt0098426,Sárkány és papucs,1990
tt0098431,Taina jocului de cuburi,1990
tt0098486,Der Todesking: The Death King,1990
tt0098488,Tom and Lola,1990
tt0098532,The Match Factory Girl,1990
tt0098534,Tumultes,1990
tt0098537,Memories of a River,1990
tt0098542,"Ti, koyto si na nebeto",1990
tt0098584,La vengeance d'une femme,1990
tt0098588,Forbidden Love,1990
tt0098606,The Voice of the Moon,1990
tt0098629,Weininger's Last Night,1990
tt0098656,William S. Burroughs: Commissioner of Sewers,1991
tt0098657,Winckelmanns Reisen,1990
tt0098658,Wings of Fame,1990
tt0098682,"Ya sluzhil v okhrane Stalina, ili Opyt dokumentalnoy mifologii",1990
tt0098707,The Final Judgement,1993
tt0098963,1871,1990
tt0098967,Boiling Point,1990
tt0098972,Tales of a Golden Geisha,1990
tt0098974,Die Aids-Trilogie: Feuer unterm Arsch - Vom Leben und Sterben schwuler Männer in Berlin,1990
tt0098978,Abschiedsdisko,1990
tt0098986,Adrénaline,1990
tt0098987,The Adventures of Ford Fairlane,1990
tt0098989,Life Is Like a Cucumber,1990
tt0098990,Afghan Breakdown,1991
tt0098991,L'africana,1990
tt0098993,Time Off,1990
tt0098994,"After Dark, My Sweet",1990
tt0098999,The Path of Fire,1990
tt0099000,Farewell China,1990
tt0099001,The Story of My Son,1990
tt0099009,Alberto Express,1990
tt0099012,Alice,1990
tt0099014,All the Vermeers in New York,1990
tt0099015,Alle Juden raus!,1991
tt0099027,Amelia Lópes O'Neill,1991
tt0099028,American Dream,1990
tt0099040,An Angel at My Table,1990
tt0099043,Anjali,1990
tt0099052,Arachnophobia,1990
tt0099053,Archangel,1990
tt0099055,The Argon Quest,1992
tt0099067,Au chic resto pop,1990
tt0099071,L'autre,1991
tt0099072,In the Eyes of the World,1991
tt0099073,Avalon,1990
tt0099076,Awaargi,1990
tt0099077,Awakenings,1990
tt0099078,BB saam sap,1990
tt0099081,Baap Numbri Beta Dus Numbri,1990
tt0099088,Back to the Future Part III,1990
tt0099091,Bad Influence,1990
tt0099094,Al-bahths an Al-Sayyid Marzuq,1990
tt0099095,Bail Jumper,1990
tt0099097,Bakenbardy,1990
tt0099103,Bandits,1991
tt0099110,Bataashi kingyo,1990
tt0099111,La batalla de los Tres Reyes,1990
tt0099112,Bavaria Blue,1990
tt0099118,Benvenuti in casa Gori,1990
tt0099119,Berdel,1990
tt0099120,Der Berg,1990
tt0099121,Berkeley in the Sixties,1990
tt0099123,Bes v rebro,1990
tt0099126,The Best of the Martial Arts Films,1990
tt0099127,Bethune: The Making of a Hero,1990
tt0099129,Between Two Worlds,1990
tt0099130,Beyond the Ocean,1990
tt0099138,The Big Steal,1990
tt0099140,Biologie,1990
tt0099141,Bird on a Wire,1990
tt0099150,Blood Clan,1990
tt0099166,Book of Love,1990
tt0099167,Boom Boom,1990
tt0099173,Brain Dead,1990
tt0099174,Le brasier,1991
tt0099175,Sedem jednou ranou,1991
