tconst,primaryTitle,startYear
tt0031458,El huésped del sevillano,1970
tt0039442,"Habla, mudita",1973
tt0058950,"Auliban, the Seller of Rings",1973
tt0060477,Gregorio and His Angel,1970
tt0060551,Itt járt Mátyás király,1973
tt0061069,Taro the Dragon Boy,1979
tt0061151,The Lost Angel,1971
tt0061478,Chun huo,1970
tt0061902,The Life of Mozart,1970
tt0062105,Der Paukenspieler,1971
tt0062342,Tarzan and the Perils of Charity Jones,1971
tt0062359,The Bull Buster,1973
tt0062690,Awakening of the Beast,1970
tt0062701,Balsamus l'uomo di Satana,1970
tt0062784,El certificado,1970
tt0062980,Fleshpot on 42nd Street,1973
tt0063018,Iron Dragon Strikes Back,1979
tt0063066,Hibotan bakuto: Oryû sanjô,1970
tt0063070,Story of a Girl Alone,1971
tt0063337,"One Day, the Nile",1972
tt0063353,Nihon jokyo-den: tekka geisha,1970
tt0063498,Remolino de pasiones,1970
tt0063499,Ramparts of Clay,1970
tt0063604,Shiruku hatto no ô-oyabun,1970
tt0063666,"Love, Emilia",1970
tt0064004,All the Right Noises,1970
tt0064021,"Love Is Gay, Love Is Sad",1971
tt0064038,The Land,1970
tt0064076,Before the Mountain Was Moved,1970
tt0064105,The Ancines Woods,1970
tt0064106,Le Boucher,1970
tt0064111,Bronco Bullfrog,1970
tt0064121,Comrades,1970
tt0064144,The Circle,1970
tt0064165,The Things of Life,1970
tt0064177,Colossus: The Forbin Project,1970
tt0064182,Rimal min dhahab,1971
tt0064190,Cristo 70,1970
tt0064191,El cronicón,1970
tt0064197,Cuori solitari,1970
tt0064225,Last Known Address,1970
tt0064273,And God Said to Cain,1970
tt0064279,A Crazy Night,1970
tt0064283,An Elephant Called Slowly,1970
tt0064285,The Wild Child,1970
tt0064294,La horse,1970
tt0064341,Fortunata and Jacinta,1970
tt0064359,The Gamblers,1970
tt0064377,Golpe de mano (Explosión),1970
tt0064385,"Shine, Shine, My Star",1970
tt0064386,The Fifth Day of Peace,1970
tt0064388,El gran crucero,1970
tt0064420,The Inheritors,1970
tt0064423,Happy He Who Like Ulysses,1970
tt0064437,The Honeymoon Killers,1970
tt0064451,A Touch of Zen,1971
tt0064465,Ice,1970
tt0064522,Mr. and Mrs. Juan Lamaglia,1970
tt0064535,The Kashmiri Run,1970
tt0064546,Witchhammer,1970
tt0064553,King Lear,1970
tt0064554,King of the Reindeer,1970
tt0064582,Der Leone Have Sept Cabeças,1970
tt0064585,Letters from Stalingrad,1972
tt0064586,Juan Pedro the Scyther,1970
tt0064593,The Virgin's Bed,1970
tt0064628,Mama vyshla zamuzh,1970
tt0064633,Awkward Hands,1970
tt0064649,The McMasters,1970
tt0064704,Girly,1970
tt0064706,My Girlfriend's Wedding,1973
tt0064741,Nu xia mai ren tou,1970
tt0064751,Odvázná slecna,1970
tt0064753,Sweet Kisses and Languid Caresses,1970
tt0064761,One Brief Summer,1971
tt0064774,"Eyes Do Not Want to Close at All Times, or, Perhaps One Day Rome Will Allow Herself to Choose in Her Turn",1970
tt0064779,The Bear and the Doll,1970
tt0064781,Fruit of Paradise,1970
tt0064787,A Quiet Place to Kill,1970
tt0064788,Paraíso,1970
tt0064791,Rider on the Rain,1970
tt0064806,The Phantom Tollbooth,1970
