tconst,primaryTitle,startYear
tt0039965,Viva Chihuahua,1961
tt0045136,Semmelweis,1961
tt0048162,Herr Puntila and His Servant Matti,1960
tt0049360,The Imposter,1960
tt0050441,Romeo e Giulietta,1964
tt0050517,El hombre que perdió el tren,1960
tt0051162,Life Does Not Forgive,1960
tt0051506,Culpables,1960
tt0051596,La estrella vacía,1960
tt0051832,Nobody's Child,1960
tt0051869,Los pequeños gigantes,1960
tt0051874,La Llorona,1960
tt0052205,The Small World of Sammy Lee,1963
tt0052376,War Is Hell,1961
tt0052584,Il peccato degli anni verdi,1960
tt0052597,Baietii nostri,1960
tt0052607,The Battle of the Sexes,1960
tt0052614,Le bel âge,1960
tt0052635,Mein Kampf,1960
tt0052661,Bumerang,1960
tt0052679,La casa del terror,1960
tt0052680,Cash McCall,1960
tt0052698,Classe Tous Risques,1960
tt0052703,The Cossacks,1960
tt0052715,The Crowning Experience,1960
tt0052721,Darbuján a Pandrhola,1960
tt0052737,Le dialogue des Carmélites,1960
tt0052745,A Dog of Flanders,1960
tt0052768,The Brute,1961
tt0052769,L'eau à la bouche,1960
tt0052781,Escape by Night,1960
tt0052784,Skeleton of Mrs. Morales,1960
tt0052788,Una estrella y dos estrellados,1960
tt0052802,La fiel infantería,1960
tt0052807,Five Bold Women,1960
tt0052811,The Flesh and the Fiends,1960
tt0052819,Four Fast Guns,1960
tt0052821,Mrs. Warren's Profession,1960
tt0052832,The Fugitive Kind,1960
tt0052868,Gundown at Sandoval,1961
tt0052898,El hombre de la isla,1960
tt0052913,Ich heirate Herrn Direktor,1960
tt0052921,L'impiegato,1960
tt0052949,Journey to the Lost City,1960
tt0052958,When the Woman Butts In,1960
tt0052961,Kapò,1960
tt0052973,Konec cesty,1960
tt0052997,The League of Gentlemen,1960
tt0053013,Llama un tal Esteban,1960
tt0053024,Lunatycy,1960
tt0053029,You Should Value Love,1960
tt0053056,Medved a strasidla,1960
tt0053061,Merénylet,1960
tt0053063,Meurtre en 45 tours,1960
tt0053092,Darkness Fell on Gotenhafen,1960
tt0053102,The Ship of Monsters,1960
tt0053106,Letter Never Sent,1960
tt0053132,October Moth,1960
tt0053149,Oscar Wilde,1960
tt0053157,O Passarinho da Ribeira,1960
tt0053188,The Price of Silence,1960
tt0053212,Rear Entrance,1960
tt0053228,The Red Circle,1960
tt0053244,The Savage Innocents,1960
tt0053248,The Sheriff,1960
tt0053255,The Wretches,1960
tt0053262,Senda prohibida,1961
tt0053273,The Shakedown,1960
tt0053279,Le signe du lion,1962
tt0053309,Strafbataillon 999,1960
tt0053312,Ein Student ging vorbei,1960
tt0053319,Sujata,1960
tt0053339,Telegrame,1960
tt0053365,Playgirl After Dark,1960
tt0053371,A Touch of Larceny,1960
tt0053380,Le tre eccetera del colonnello,1960
tt0053395,A Mistress for the Summer,1960
tt0053401,Howlers of the Dock,1960
tt0053404,The Waves of the Danube,1960
tt0053407,Great Solitude,1960
tt0053427,Vörös tinta,1960
tt0053430,Vuelta al paraíso,1960
tt0053440,I Aim at the Stars,1960
tt0053459,Eyes Without a Face,1960
tt0053472,Breathless,1960
tt0053476,Égrenyíló ablak,1960
tt0053556,091 Policía al habla,1960
tt0053559,13 Ghosts,1960
tt0053561,5 Branded Women,1960
tt0053563,At Five in the Afternoon,1960
tt0053564,A noi piace freddo...!,1961
tt0053566,Aas Ka Panchhi,1961
tt0053570,Adua e le compagne,1960
tt0053571,The Adventures of Huckleberry Finn,1960
