tconst,genre,plot
tt0052721,"['Comedy', 'Fantasy']","Cuba Drobbyan (Jiri Sovak) is a poor cavalier who has a good wife (Bela Jurdova) and eleven children. When it comes to the twelfth, Cuba decides to go into the world and get a good godfather for him. Meanwhile, the old man meets Bohas Zahorsky, but he does not want to be a godfather, because he is not equally equitable to all people, he rejects the devil (Otakar Brousek), eventually meets the Deathwalker (Vaclav Lohnisky) whom he chooses because he belongs to all people just equitable. The Deathwoman makes a treaty with Cuba and gives him a special gift: When Cuba sees him with a sick person at his head, the person dies if he stands at his feet, the healer heals. Cuba tries it a few times, and the Death Gift works. Cuba will gradually become a respected and popular folk healer.The rich and fat brewery brewer Pandrhola (Rudolf Hrusinsky), who has always refused to help and make fun of Kuba and all the local poor miners, is the counterpart of the poor cavalier. Even one day it will get sick. He calls Cuba, but he first refuses because Deathwoman stands in the bed's heads. In the end, however, Cuba is allowed to cope with Pandhra and treats it despite the fact that it breaks the deal with the Death Eater - let the bed with Pandrhola turn around so that the Deathwoman, standing at the head, stands at his feet. But Pandrhola lets Smrtak be trapped in a brewery barrel, making it impossible for anything alive to die. This will cause great confusion and upheaval on the ground. Eventually, Death Knight comes out of the barrel, Pandrhol sets off with his deadly scythe, and Kuba definitively removes his gift."
tt0052781,"['Drama', 'War']","In WWII Italy, a woman puts herself and her lover in danger by hiding a trio of allied POWs. The three, an Englishman, an American and a Russian work together to rejoin their respective ranks while bonding with their Italian hosts."
tt0052784,"['Comedy', 'Crime', 'Horror']","Pablo Morales (Arturo de Cordova) is a quiet down-to-earth taxidermist who enjoys his humble work and loves children and animals. His wife Gloria (Amparo Rivelles) is a hypochondriac who suffers psychologically from a physical deformation and sees her husbands work as well as his mild affection as pornographic. Their life is one of marriage without a bond of love, while additionally Glorias sister and sadistic brother-in-law are constantly harping in and loudly demanding that Pablo treat Gloria better, causing Pablo to seek solace in food and drink with his own friends. Added to the stress-full home life is a Priest, a reminder that the Church demands that a husband treat a wife with a mannered relation that does not accept divorce. When Gloria gives away money to the Church that Pablo was putting aside for a camera, he objects. Pablo demands the cash be returned from the Priest. Gloria stages a domestic abuse, screaming loudly for the benefit of the nosy neighbors and actually giving herself bruises so that Pablo will be held responsible. It is then that Pablo decides to poison his wife by diluting her food with a toxin that immediately kills her. Pablo then with loving care dissects Glorias body and reassembles her skeleton and places it in the front window of his workshop. When the local Priest sees the skeleton he has Pablo arrested and brought to trial and a panel of experts to examine the bones and testify that the irate husband has murdered his loving wife. When the experts say that the bones are not those of the missing wife, and a group of witnesses enter to affirm the positive side of Pablos character the Judge releases the seemingly innocent man. But there are lingering elements of such an act that stay with Pablo and his neighbors in the aftermath of the court room confrontation."
tt0052997,"['Comedy', 'Crime', 'Thriller']","A manhole opens at night in an empty street and out climbs Lieutenant-Colonel Norman Hyde (Jack Hawkins) in a dinner suit. He gets into a Rolls-Royce and drives home. There, he prepares seven envelopes, each containing an American crime paperback called ""The Golden Fleece"", half a £5 note and an unsigned invitation from ""Co-operative Removals Limited"" to lunch at the Café Royal. He then posts the envelopes to seven former army officers, each in desperate or humiliating circumstances.A few days later, the men in question turn up at the Café Royal. After lunch, Hyde dismisses the waiters and introduces himself. He hands out the second halves of the £5 notes and asks their opinion of the novel in which a robbery is committed by experts. When they show little enthusiasm, he expresses surprise given their backgrounds and asks: Youre all crooks, arent you? Of one kind or another. Touring the table, pouring out the brandy, he reveals why they were obliged to leave the British Army and their unenviable present occupations:* Major Peter Race (Nigel Patrick) was a transport officer who resigned before his black market ring was uncovered in post-war Hamburg. He earns a poor living in unlicensed gambling and lives at the YMCA. He prides himself on his high breeding and addresses men as ""old darling"";* Major Rupert Rutland-Smith (Terence Alexander) is the hen-pecked husband of a wealthy young woman who delights in pulling his strings because he depends on her money. She also has affairs to which he can only turn a blind eye;* Captain Padre Mycroft (Roger Livesey) was a quartermaster dismissed for public gross indecency. He is now a con-man impersonating vicars and priests. He also enjoys lewd books;* Captain Martin Porthill (Bryan Forbes) was dishonourably discharged for killing suspected members of the Cyprus-based EOKA terrorist organisation (Cyprus was a British colony at the time). He now works as a piano player in nightclubs and as a gigolo to middle-aged women;* Captain Stevens (Kieron Moore), a one-time fascist follower of Oswald Mosley, who now runs a gymnasium. A homosexual, he needs money to pay a blackmailer (male same-sex relationships being illegal at the time);* Captain Frank Weaver (Norman Bird) was the head of a bomb disposal squad who tried to defuse a bomb while drunk, killing four of his soldiers. He has been a teetotaller ever since and owns a small shop fixing clocks and watches, living with his garrulous wife (Doris Hare) and ageing father-in-law;* Lieutenant Edward Lexy (Richard Attenborough) is a communications specialist who was dismissed for selling information to the Russians. He runs a struggling repair shop for radios and fruit machines.Hyde tells them he has no criminal record himself but does have a grievance for being made redundant by the army after a lengthy career. He is now aims to rob a bank using the team's skills!Race follows Hyde home. He is interested in the scheme but warns Hyde to watch out for the others, who might just double-cross him. Hyde agrees, yet insists each man receive an equal share of the loot because ""the one, sure way to disaster is for someone to get greedy"". After talking the plan over, Race agrees to Hyde's terms, stating that he is ""losing a friend, but gaining a second-in-command"", to which Hyde answers, ""I'll settle for that"".The gang meet under the guise of an amateur dramatic society rehearsing ""Journeys End"" to discuss the plan (during which they are interrupted by a rather camp Oliver Reed). They then move into Hydes house and begin to live a strict military regime of duties, varying from cooking to preparing for the robbery. Hyde knows that a million pounds in used notes is regularly delivered to a City of London bank and has details of the delivery. What they need now is the equipment to pull it off.They raid an army training camp in Dorset for arms and supplies. Hyde, Mycroft, Porthill and Race distract the soldiers by posing as senior officers on an unscheduled food inspection. The others steal weapons while posing as telephone repairmen, speaking in Irish accents to divert suspicion to the IRA.After that they use a rented warehouse to prepare. Race steals various vehicles including a truck and false number plates are also made. At one stage they are disturbed by the chance passing of a policeman who offers to keep an eye on their premises as part of his beat.In Hydes basement, the gang train for and plan the robbery using maps and models. On the eve of the operation, Hyde destroys the plans and sighs: they have reminded him of his days of military glory.The robbery is bloodless and precise. Using smoke bombs, sub-machine guns and radio jamming equipment, the gang raids the bank, near St Pauls. The loot is seized without serious injury and the robbers escape, every stage having been carefully planned and practised.At Hydes house, celebrations are interrupted by the unexpected arrival of Hydes old friend, Brigadier ""Bunny"" Warren (Robert Coote), who drunkenly recalls the old days. One by one the members leave carrying money-filled suitcases. Then the telephone rings: Hyde is told that police and soldiers surround the house.Leading the police is Superintendent Wheatlock (Ronald Leigh-Hunt) from whom Hyde learns the fatal flaw in his plan. A small boy outside the bank had been collecting car registration (licence plate) numbers, a common hobby at the time. The police, discovering the number, found it had been noted by the policeman who visited the warehouse, who had also noted the number of Hyde's own car. Thus a link was formed between the robbery and Hyde.Hyde is escorted to a prison wagon in which he finds the rest of the League of Gentlemen ""all present and correct""."
tt0053401,"['Drama', 'Musical', 'Comedy']","Fast-pasted, almost plot less musical-comedy showing the adventures of a band of friends, teddy boys, and rock n' roll chicks, whose crazy, fun-loving habits inspire jiving from some citizens and bitter complains from others.When a prominent jeans company owner feels that the kids bad reputation is adversely affecting the sales and public image of their product. Prevailing upon the youths to help, he engineers a series of promotional stunts to lighten the publics opinion of these good-hearted rock n roll naïf, and their lovely jeans. But an unscrupulous politician makes things difficult for the youngsters, but all turns out well.After helping a few women across the street and carrying an elderly man bodily up flights of stairs, but finds that their kind gesture futile for the old man states: ""I live on the ground floor you knuckleheads!"" The film ends with the solid Roman bourgeois dancing in the streets, seduced by the wonders of rock and roll music."
tt0053459,"['Drama', 'Horror']","On a night just outside Paris, a woman drives along a riverbank and dumps a corpse in the river. After the body is recovered, Dr. Génessier identifies the remains as those of his missing daughter, Christiane Génessier, whose face was horribly disfigured in an automobile accident that occurred before her disappearance, for which her father was responsible. Dr. Génessier lives in a large mansion, which is adjacent to his clinic, with numerous caged German Shepherds and other large dogs.Following Christiane's funeral, Dr. Génessier and his assistant Louise, the woman who had disposed of the dead body earlier, return home where the real Christiane is hidden (it is explained that Louise is deathlessly loyal to Génessier because he repaired her own badly damaged face, leaving only a barely noticeable scar she covers with a pearl choker). The body belonged to a young woman who died following Dr. Génessier's unsuccessful attempt to graft her face onto his daughter's. Dr. Génessier promises to restore Christiane's face and insists that she wear a mask to cover her disfigurement. After her father leaves the room, Christiane calls her fiancé Jacques Vernon, who works with Dr. Génessier at his clinic, but hangs up without saying a word.Louise lures a young Swiss girl named Edna Grüber to Génessier's home. Génessier chloroforms Edna and takes her to his secret laboratory. Christiane secretly watches her father and Louise carry Edna to the lab, and then goes to tenderly caress the dogs her father keeps caged, who eagerly accept her love, and are unaffected by her appearance.Dr. Génessier performs heterograft surgery, removing Edna's face. The doctor successfully grafts the skin onto his daughter's face and holds the heavily bandaged and faceless Edna against her will. Edna escapes, but falls to her death from an upstairs window. After disposing of Edna's corpse, Génessier notices flaws on Christiane's face. Her face grows worse within days; the new tissue is being rejected and she must resort to wearing her mask again. Christiane again phones Jacques and this time says his name, but the phone call is interrupted by Louise.Jacques reports the call to the police, who have been investigating the disappearance of several young women with blue eyes and similar facial characteristics. The police have gained a lead concerning a woman who wears a pearl choker, whom Jacques recognizes as Louise. Inspector Parot, an officer investigating Edna's disappearance, coerces a young woman named Paulette Mérodon (recently arrested for shoplifting) to help investigate by checking herself into Génessier's clinic. After being declared healthy, Paulette leaves for Paris and is promptly picked up by Louise, who delivers her to Dr. Génessier. Génessier is about to begin surgery on Paulette when Louise informs him that the police want to see him.While the doctor talks with the police, Christiane, who has long been disenchanted with her father's experiments, and has been slowly losing her sanity from guilt and isolation, frees Paulette and stabs Louise in the neck. She also frees the dogs and doves that her father uses for experiments. Dr. Génessier dismisses the police (who readily accept his explanations) and returns to his lab, where an abandoned German Shepherd he'd only recently obtained for his experiments attacks him, inciting the other dogs to follow suit-maddened by pain and confinement, they maul him to death, disfiguring his face in the process. Christiane, unmoved by her father's death, walks slowly into the woods outside Génessier's house with one of the freed doves on her hand."
tt0053472,"['Crime', 'Drama']","Michel Poiccard (Jean-Paul Belmondo) is a petty thief who makes money by stealing cars and driving them to Paris to resell. When during a job Michel is pulled over by a motorcycle policeman he shoots him dead and must find a way to escape the closing dragnet. In Paris Michel pilfers more money from an old girlfriend, and mugs a stranger in a rest room, and looks up American girl friend Patricia Franchini (Jean Seberg) an aspiring journalist who hawks the New York Herald Tribune on the Champs Elysees. Michel needs to collect money for his car but also emotionally is drawn to Patricia having slept with her previously and seeking some more stable bond but Patricia is apprehensive about their eventual success together. After Michel has collected his money and makes plans for him and Patricia to go away together, Patricia learns from the Police about Michels crime background and must make a heartfelt decision that may change their lives forever."
tt0053559,"['Horror', 'contentRating', 'Not', 'Rated']","The movie opens with eerie music and a darkened screen followed by screams and moans and splotches of paint thrown at the screen. Each ghost and its number appears with the number thirteen as a ""?"". Titles and credits follow.The opening shot is the front (south entrance) of the Los Angeles County Museum of Natural History. Cyrus Zorba (Donald Woods) is a paleontologist and is lecturing to a group of college students. He encourages them to visit the La Brea Tar Pits. He is interrupted by his boss, Mr. Van Allen (John Van Dreelen), who tells him his wife needs to speak to him on the telephone. Hilda Zorba (Rosemary DeCamp) tells her husband their furniture is being repossessed, again! Payments are three months overdue. Cy is a poor money manager and very forgetful. She reminds him that it is Buck's birthday, so don't forget his gift. Buck Zorba (Charles Herbert) arrives home to an empty house. ""Why do they always take our furniture?"" he asks his mother knowing the answer.The cake says, ""Happy Birthday, Buck"" and contains eleven candles. His sister, Medea (Jo Morrow) gave her brother a tome of ""Ghost Stories."" They eat on the floor, as all the furniture is gone. Buck makes a wish and prepares to blow out the candles. His wish is for, ""A house with furniture that no one could take away from us."" At that a gust of wind blows out the candles. Simultaneously the doorbell rings. Cy answers it. He sees no one at the door. He ventures out into the darkness a few steps and a short, cadaverous man (David Hoffman) asks, ""Mr. Cyrus Zorba?"" He hands him a telegram then disappears into the darkness. Cy opens and reads the telegram out loud. He is to report at 10:00 a.m. to an attorney's office. Medea looks up his name in the phone book and tells her father he's in the Petrol Building.The next morning Cy and Hilda Zorba appear at the law office of Benjamin Rush (Martin Milner). Ben Rush tells the pair that Cy has inherited a house from his uncle, Dr. Plato Zorba. It includes furniture, but Ben tells them they will be disappointed. It is a fifty year old house in need of work. A wrapped package sealed with wax was also included in the inheritance. According to Ben Rush, Dr. Zorba was his client for a year and he had collected ghosts from all over the world. ""You inherit them too,"" he warns. Cy and Hilda chuckle in amusement, but Ben is dead serious, reiterating, ""They go with the house."" Ben leaves to get a notary. They open the package and find a wooden box. When they open it a gust of wind blows the papers around the lawyer's desk. Inside is a pair of peculiar looking glasses. A fly buzzing around the room annoys Hilda, who keeps brushing it away. It lands on the glasses and explodes like it was a bug zapper.Ben drives up to the house to see Cy about more paperwork. The family has moved into the house. It is a large Victorian place, very overgrown and obviously untended for years. Ben encounters Buck skating on the porch. Buck is excited about the house and claims they have a ""live"" witch living there. When Ben rings, Medea answers, much to Buck's annoyance. He wanted the housekeeper, Elaine Zacharides (Margaret Hamilton) to answer as she usually does. Medea introduces herself to the lawyer and is instantly attracted to him. She invites him in. Elaine is on the stairs and holding a broom. She glowers at Ben and the children, and turns and walks upstairs. They discuss Plato Zorba and his picture over the fireplace. Ben explains the ghosts had nearly killed him and altered his appearance, ""back broken, face torn to shreds, lips ripped away."" He tells Medea he wishes they had not moved into the house. Medea invites Ben to stay for dinner. Cy finishes signing all the paperwork for the house and they discuss ""the witch."" Cy explains they can't pay her, but she begged to stay on until she found something else. Ben explains she must have money, as Zorba paid her well. Buck finds a OUIJA board and brings it to the table. Buck explains he pushed something on the fireplace and a door opened. Buck walks over to the fireplace, pushes a button and the door opens revealing a deck of cards, the book and the planchette. Cy retrieves the planchette and hands it to Buck. He removes the white bound book. It is written in Latin. Medea suggests they play with the OUIJA board. Cy explains how the board works. All five put a finger on the planchette. Ben asks, ""Is Medea in Love?"" Buck asks a question, ""Are there any ghosts in this house?"" The pointer goes to Yes, despite Hilda and Ben saying they pushed towards No. After that, just Medea and Buck play with the board. He asks, ""How many?"" It answers 13. Medea asks, ""Are they going to hurt us?"" It points to Yes. Ben warns Medea, ""Don't fool around with that thing anymore."" Buck finally asks, ""Are they going to kill any of us?"" The glass framed portrait of Dr. Zorba falls off the wall and nearly kills both Buck and Medea. The planchette starts moving on its own, levitating above the couch and landing in Medea's lap.Cy and Hilda prepare for bed. Hilda is scared. Cy explains to his wife if they don't live in the house it goes to the state. Cy opens the box and pulls out the glasses. Hilda complains of a freezing draft. The flowers on a table wilt. Cy checks on the children and then goes downstairs for a book. Down in the living room we see some of the ghosts re-enacting their crimes, perpetrators and victims. Cy hears moaning and is drawn to the source. He walks down a hallway and opens a door that leads to a walled up room. He presses on it and it slides open. The moans are louder. He turns on a light. This must have been Zorba's laboratory. Someone whispers ""13"" over and over. He puts on the glasses and sees the book burning. He looks up to see four apparitions floating in midair. The four burst into flames and scream. He is attacked by a pinwheel of fire. He takes the glasses off. The door open and he retrieves his Uncle's book. The number ""13"" is seared into his flesh on the back of his right hand.The next morning at work he asks Mr. Van Allen how the translation is going on the book. Van Allen has a hard time putting it into words. He refers to a University Publication from ten years prior. It is about Plato Zorba and his solicitation of haunted houses so he can photograph ghosts. The book is a record of his work. There is a chapter for each ghost. One is from Ireland, a couple from Italy and one from Tibet is mentioned. ""I, Plato Zorba, am the twelfth."" The phone rings and Van Allen answers it. It is Hilda again, and she demands Cy return home immediately.The ghost of a chef kills his wife with a cleaver. When Cy gets home there is commotion in the kitchen. The floor is a mess of broken plates. Hilda tells her husband they just flew off the shelves. They watch as a can of flour pours itself on the floor. Hilda says, ""I have had enough, Cy."" A bottle of milk floats over the mess and falls. Buck walks into the kitchen and explains, ""That was Emilio."" He was an Italian chef who killed his wife and two other in-laws. The final act is a cleaver that flies across the room and imbeds itself in the wall, nearly hitting Cy. Hilda pleads with Cy to move out now. Elaine appears and answers some of Cy's questions. She tells him she helped Dr. Zorba with his work. She adds that Zorba turned against her. Zorba converted all his wealth into cash. She and Ben searched the house after his death but found nothing. Cy asks about Zorba's death. Elaine shows him Zorba's bedroom. She lights a few candles and tells Cy he died in bed, the official cause of death was suffocation. Elaine pleads with Cy that he and his family should leave tonight. A gust of wind blows out the candles, and then they relight themselves. One candle levitates over to the bed, directing attention to a switch that raises and lowers the canopy. Cy operates the switch.Ben and Medea return home from a date. Everyone in the house is asleep. In Zorba's bedroom a man with cobweb covered pants and dirty shoes walks towards the door. Medea turns out her light and goes to bed. The figure walks the house. It opens Medea's bedroom door. She is awakened to a window banging. She gets up to latch it. The visage of Dr. Zorba approaches her. She screams and walks backwards. Elaine goes into her room and reopens the window.The next morning Buck makes his bed and then slides down the bannister. Two one-hundred dollar bills appear and float to the floor, unnoticed. He takes the glasses and walks down into the basement. He finds an old trunk and opens it. He finds a lion tamer's hat and whip used by Shadrack the Great. He opens an empty cage and is floored by a lion's roar. He puts the glasses on and sees both the ghost of the lion and the headless Shadrack. He is both frightened and fascinated. Buck takes Medea her breakfast. He sees the $200 and picks it up. The doorbell rings--it is Ben. Ben notices and asks about the money. Buck brings his sister her tray. Ben tells Buck that, ""there's a treasure hidden in this house."" Ben wants Buck's help finding it.Ben stops at the Museum to see Cy. Ben tells Cy that he thinks he can arrange for the state to pay for the house and grounds. Ben is a little too anxious to get the Zorba family out of the house. Van Allen comes in an reads a passage from the book, ""Today, I finished converting my assets into cash and put it where unscrupulous men can no longer steal it from me."" Van Allen suggests he find Elaine to get some answers. Cy explains Elaine is the housekeeper. Van Allen suggests a séance to converse with Dr. Zorba.That evening Elaine holds a séance with Medea, Hilda and Cy. She will act as medium. Cy retrieves his glasses as Buck slides down the bannister again. He finds more money, wiggles the balustrade posts and it opens a hidden door. Behind the door is a stack of money. Dr. Zorba speaks through Cy. He puts the glasses on and sees Zorba materialize from his portrait, but not the distinguished man in the picture, but a disfigured visage. Ben shows up at the house and Buck shows him the money. Ben tells him to go to bed, and then follows him upstairs. Dr. Zorba's ghost inhabits Cy. He says, ""Death tonight, one of you."" Zorba returns to his portrait. Cy wants to know more, but Elaine deflects the questions and predicts, ""Tonight death walks again in this evil house.""Ben is in Dr. Zorba's bedroom dressed up as the visage of Dr. Zorba. He is wearing the cobweb pants and dirty shoes, but not the mask. He checks the switch on the bed's canopy mechanism. Ben steals into Buck's bedroom and lifts the sleeping child. He takes him to Dr. Zorba's bedroom and places him on the bed. Ben activates the canopy switch and watches it slowly descend. The ghosts react to the impending murder of a child. Through a ventilation duct, a mist appears. Ben sees Dr. Zorba's ghost. It approaches as Ben retreats. It directs Ben to the bed and forces him under the lowering canopy. Buck wakes, runs out of the way and screams. He sees Zorba's ghost hold Ben under the canopy. The family rushes into Zorba's bedroom.The next morning they are counting cash. Cy explains to his daughter that Ben murdered Dr. Zorba and tried to find the hidden money. Elaine calls the family to breakfast. Buck asks Elaine, ""You really are a witch aren't you?"" Elaine replies, ""Ask me no questions and I'll tell you no lies."" She tells Buck the ghosts will be back. The glasses levitate above a table and explode. Elaine takes a broom, smirks, and exits the room. We close with a panning shot around the inside of the house, and see the ghosts again. The front door closes and ""House for Sale"" appears."
tt0053578,['Drama'],"Single mum (father of child dead) from the country with 6th grade boy comes to Tokyo, leaves the boy to live with his uncle's family - wife, male, female teens, run a struggling greengrocer - and lives/ works in local inn. He gets bullied/ fights with local boys, goes to the baths, plays basketball, is befriended by his male cousin and becomes friendly with grade 4 girl who's the daughter of the innkeeper, who employs his mum and is the longterm mistress of a businessman from another town, who's the girl's father and who brings her half sister and brother to meet her but they're mean to her. Meanwhile the boy's mother gets friendly with one of the inn's clients and chucks her job for a trip or something more permanent with him. The young girl takes him shopping, and wants the boy to live with her and her mother, but mother and father refuse so the two kids go to a seaside where he sprains his ankle and they're late back even though the police get them and they're in trouble. The boy loses his beetle and tries to get another for the girl for a school project but when he does, she's moved house with her mother at the urging of her father. Clear? It's better in the film."
tt0053580,"['Adventure', 'Drama', 'History', 'War', 'Western']","In February 1836, Texas is part of Mexico, and most of the English and Spanish speaking settlers of that region are discontent with the tyrannical rule of Gen. Santa Anna. General Sam Houston (Richard Boone) arrives in a small town with several men where he hastens to assemble a Texan army. At the same time, Santa Anna is heading north with several thousand soldiers to defeat the rebellion. To gain more time, Houston orders Col. William Barret Travis (Laurence Harvey) to take command of the Alamo, a fort in a crumbling mission near the village of San Antonio de Bexar, through which Santa Anna's men must pass. Houston hopes that Travis and his 27 ""regular"" army men will stall the enemy for as long as possible with the assistance of rancher Col. James Bowie (Richard Widmark) and his 100 Texas volunteers. The hard-drinking and independent Bowie, who has extensive landholdings to protect, and the aristocratic and arrogant Travis are a poorly matched team and antagonism between the two officers quickly grows.Although Juan Seguin (Joseph Calleia), a respected community leader, reports that Santa Anna is closer than they realize, Travis refutes the information and repeatedly lies to the men about the danger of their situation. Believing that most men have no capacity to act for reasons of honor, Travis tells his confidant, Capt. Almeron Dickinson (Ken Curtis), that the men would desert their posts if they knew the truth.Meanwhile, Colonel David Crockett (John Wayne), a former U.S. Senator, and his rowdy, but loyal 32-strong Tennessee backwoods sharpshooters, arrive in Bexar and head straight for the cantina. Travis seeks out ""Davy"", and is surprised to learn that the reputed ""illiterate country bumpkin"" is an eloquent, deep thinker and is sensitive to the Texans' plight. Aware that Santa Anna's regime forbids Texans economic rights, Davy has also guessed the unpublicized plans to create a Republic of Texas. Unknown to his men, who think they are out for adventure, Davy has brought them to Bexar to investigate the situation and possibly convince them to join the fight.Crockett soon falls in love with Flaca (Linda Cristal), a young Mexican woman whose family was killed by Santa Anna and who is being pressured to marry Emil Sande (Wesley Lau), a local merchant who has curried favor with the Mexican general. Although she refuses Davy Crockett's gallant offer of help, she tells him about the cache of ammunition Emil has hidden for Santa Anna in the basement of the village church. During the night Crockett, Bowie and their men find the supplies. When Emil discovers Davy and the others and tries to kill them, Davy throws Bowie's knife at Emil, killing him.Crockett and Flaca enjoy a brief romance, but he soon sends her north to safety, realizing they may never see each other again. Travis keeps up the morale in the fort by reporting that Captain Jim Fannin is on his way to the Alamo with more soldiers. Believing that staying cornered inside the fort is suicide, Bowie unsuccessfully tries to convince both Travis and, later, Davy that the best way to defend the Alamo is by a ""cut, slash and run"" approach out in the open. Davy Crockett convinces his men to fight for the Alamo by reading them a letter, purportedly written by Santa Anna, ordering the Tennesseeans to leave. Offended, the men stubbornly refuse to take orders from the Mexican general and vow to stay, after which Davy admits that he wrote the letter himself, but it is what Santa Anna would want.A detachment of Mexican soldiers arrive at San Antonio and a courier from Santa Anna arrives outside the Alamo fort, and from there, proclaims a message ordering the ""occupiers"" of the fort to relinquish all ammunition and leave. Before the courier can finish the message, Travis uses his glowing cigar to light the cannon. Startled by the cannon fire, the Mexican halts his reading and retreats in a dignified manner. Dryly, Bowie comments to Davy that Travis ""knows the short way to start a war.""Over the next few days, Mexican soldiers are taking positions in front of the fort. Travis predicts that fighting will not begin until Santa Anna himself, the Mexican heavy artillery and food wagons arrive, which will take several days. Believing the situation is hopeless, Bowie decides to leave with his men. However, when Captain James Butler Bonham (Patrick Wayne) arrives from another camp, reporting that Fannin is coming with one thousand men, Bowie decides to stay, unaware that Bonham has been ordered by Travis to lie about the number of men accompanying Fannin. In private, Bonham reports to Travis that only less then 500 men are expected. A quarrel between Bowie and Travis escalates into plans for a duel after Bowie takes his men out on patrol without Travis' permission, but Crockett convinces them to postpone their confrontation until after the war.Confronted by Crockett, Travis admits that his orders are simply to buy time for Houston. Believing that the mission is worthwhile and knowing that Bowie plans to leave with his men in the morning, Davy gets him drunk, causing him to sleep late. The next day, Seguin sneaks into the fort with a few dozen more men, bolstering morale and boosting the Alamo garrison from 150 to 185 men.One night, when a message is delivered directly to Bowie, bypassing Travis, the commander accuses Bowie of more insubordination. However, Travis apologizes after he learns that the message reports the death of Bowie's wife.When the doctor reports low rations and an outbreak of dysentery caused by tainted water, Travis orders a night-time raid of the Mexicans, from whom they rustle several steer. They also steal a good horse for a young teenage soldier, Smitty (Frankie Avalon), one of Crockett's men, to ride to Houston's encampment to report their situation.On Day 10 of the siege, Santa Anna arrives with the main body of his army (numbering at least 2,000 men), he sends his messenger forward to allow the evacuation of the women and children. Most of the women and children leave, but Mrs. Dickinson (Aissa Wayne) insists that she and her young child will stay. After the rest of the noncombatants are safely away, the shooting commences. The Mexicans launch a full frontal assault on the south side of the Alamo.During the battle, the first Alamo casualty is Davy's friend Parson (Hank Worden), who is wounded by artillery fire. Before he dies, he inspires Davy Crockett to pray that his men are successful, and if not, will be remembered as good men. In the face of devastating fire, Santa Anna orders a retreat. At the end of the battle, the Alamo men have shot many of the Mexicans leaving hundreds of casualties in front of the fortress, but they suffer 50 casualties, twenty-eight of whom are dead. Bowie is wounded in his right leg by shellfire, but he still can fight.After the battle, men also receive news from Captain Bonham that Fannin's company was ambushed and routed, and consequently no further help will be coming. When Crockett expresses a desire to leave, Travis speaks truthfully to the men, telling them that they will not be able to hold the fort for long, but they have given Houston 10 extra days to prepare for Santa Anna. Giving his blessing, Travis opens the gate and claims there is no dishonor in leaving. Crockett and Bowie begin to lead their men out, but then Bowie gets off his horse and stands next to Travis. The others follow suit and soon all decide to persevere.The next day, Smitty delivers his written message to Houston at his camp and immediately rides away, anxious to return to his comrades, refuses both food and sleep. Upon reading the message, Houston, who is helpless to assist Travis, hopes that their sacrifice will be remembered.At the Alamo, the sleepless men talk about their belief in the hereafter. Bowie frees his aged slave Jethro (Jester Hairson) and urges him to sneak out and make his way north, but Jethro chooses to stay.On the morning of Day 13 of the siege, the entire Mexican army surrounds the Alamo for a determined final assault. Santa Anna and his staff officers take position atop a small hill to observe the battle as the entire 2,000-strong Mexican army attacks from all sides. The Texans fire back and inflict many more casualties on the attacking Mexican soldiers. During the final battle, Bowie is shot in his right leg again and taken to the infirmary, while Crockett and his men hold the south side of the fortress.Just then, Mexican artillery begins to take its toll among the defenders and cannon fire breaches the north wall, allowing hundreds of Mexican soldiers to enter the fortress. Travis takes on several Mexican troops until he his shot and killed. As Mexican soldiers and engineers breach the west wall with ladders, they manage to push the Texans back despite suffering horrendous casualties. The Mexicans also use captured Texan cannons to breach each position of the Texans one by one, sparing none of them.Seeing the breach in the north wall and despite the futility of the defense, Crockett orders a barricade thrown up in front of the Alamo church itself as he and the few surviving defenders are forced back. The Mexicans quickly overwhelm the Texans with their sheer numbers and breach all barricades. The Alamo defenders fight to the last man, with the Mexicans taking no prisoners. Davy Crockett is fatally stabbed with a Mexican lance by the dismounted soldier, whom he manages to kill. Before dying, Crockett sets fire to the ammunition to prevent the Mexicans from taking it. Near the end of the battle, Mexican soldiers entering the infirmary are shot by Bowie as he fires guns with both hands. Jethro throws himself over his former master to protect him, but both are slaughtered. Only Mrs. Dickinson, her child and a young black boy survive.In the final scene, the Mexicans have won the battle. Mrs. Dickinson, her young daughter and the slave boy are given a burro and allowed to leave without harm by Santa Anna. Smitty arrives, but from a distance he sees that he is too late to help. As Mrs. Dickinson walks away, Santa Anna orders his buglers to single a rise to call as all the Mexican soldiers stand at attention to salute the fallen Alamo defenders and allow Mrs. Dickinson to walk away. She soon joins Smitty in the distance and they walk away from the battle to tell the tale of the Alamo.The End"
