tconst,primaryTitle,startYear
tt0035423,Kate & Leopold,2001
tt0097540,Responso,2004
tt0108549,West from North Goes South,2004
tt0109173,Auf allen Meeren,2002
tt0110476,Master i Margarita,2006
tt0113086,Florentino y el diablo,2000
tt0114722,3 noches,2001
tt0115686,Biriken,2008
tt0115937,Consequence,2000
tt0116391,Gang,2000
tt0116628,The Incorporated,2000
tt0117461,Remembering Mario,2003
tt0117743,Still Waters Burn,2008
tt0118154,White Hotel,2001
tt0118694,In the Mood for Love,2000
tt0118710,Beyond the Pale,2000
tt0118852,Chinese Coffee,2000
tt0118926,The Dancer Upstairs,2002
tt0119806,Nothing Sacred,2000
tt0119966,Pushing the Envelope,2000
tt0119980,Random Shooting in L.A.,2002
tt0120202,State and Main,2000
tt0120263,Songs from the Second Floor,2000
tt0120454,Vinyl,2000
tt0120485,Way Past Cool,2000
tt0120624,Camarate,2001
tt0120626,April Captains,2000
tt0120630,Chicken Run,2000
tt0120673,Foiled,2000
tt0120679,Frida,2002
tt0120681,From Hell,2001
tt0120737,The Lord of the Rings: The Fellowship of the Ring,2001
tt0120755,Mission: Impossible II,2000
tt0120804,Resident Evil,2002
tt0120824,The Shipping News,2001
tt0120903,X-Men,2000
tt0120912,Men in Black II,2002
tt0120913,Titan A.E.,2000
tt0120917,The Emperor's New Groove,2000
tt0121164,Corpse Bride,2005
tt0121765,Star Wars: Episode II - Attack of the Clones,2002
tt0121766,Star Wars: Episode III - Revenge of the Sith,2005
tt0121919,Keke's Magic Umbrella,2000
tt0122459,Return to Me,2000
tt0123003,Bruno,2000
tt0125022,Heartbreakers,2001
tt0126029,Shrek,2001
tt0127349,Waking the Dead,2000
tt0128154,Daybreak,2002
tt0129095,Flamingo Dreams,2000
tt0130623,Dinosaur,2000
tt0131069,"To Lavoisier, Who Died in the Reign of Terror",2003
tt0131370,"Elektra, avagy bevezetés a kapitalizmus politikai gazdaságtanába",2003
tt0133063,Lightmaker,2001
tt0133240,Treasure Planet,2002
tt0133752,Fallen Arches,2000
tt0134630,Duets,2000
tt0134847,Pitch Black,2000
tt0135707,Wind River,2000
tt0137115,Mothman,2000
tt0137140,One Bad Mice,2009
tt0137210,Siestas & Olas: A Surfing Journey Through Mexico,2000
tt0138288,All Saints Day,2000
tt0138353,Cement,2000
tt0138524,Intolerable Cruelty,2003
tt0138583,Love... at Your Disposal,2000
tt0138749,The Road to El Dorado,2000
tt0138818,The Hiding Place,2000
tt0138856,Tales from the Tower,2001
tt0138927,Waterproof,2000
tt0138946,The Yards,2000
tt0139159,Dog Story,2000
tt0139494,Kitchener,2000
tt0139500,In Vanda's Room,2000
tt0139654,Training Day,2001
tt0140806,American Reel,2003
tt0141926,U-571,2000
tt0143861,Scratch,2001
tt0144084,American Psycho,2000
tt0144574,Red Lipstick,2000
tt0144940,Fé,2000
tt0145487,Spider-Man,2002
tt0145937,Naqoyqatsi,2002
tt0146063,The Princess and the Pea,2002
tt0146309,Thirteen Days,2000
tt0146803,"Goodnight, Joseph Parker",2004
tt0146882,High Fidelity,2000
tt0146984,The Legend of Bagger Vance,2000
tt0148120,Eyes to Heaven,2000
tt0148421,Looking for an Echo,2000
tt0149253,The Good War,2002
tt0149367,Where the Money Is,2000
tt0151150,Josh,2000
tt0151372,Ljuset håller mig sällskap,2000
tt0151685,Love,2001
tt0152083,Probably Love,2001
tt0152167,Refränger från källaren,2000
tt0153100,Time of Her Time,2000
tt0153140,The Shark in Me,2009
tt0153464,Up at the Villa,2000
tt0153533,Bitten: Victoria's Shadow,2001
tt0154187,The Bacchae,2002
tt0154352,Condo Painting,2000
tt0154605,Home Movies,2000
tt0155723,A Good Baby,2000
tt0155754,I'll Remember April,2000
tt0156020,Ricky 6,2000
tt0156035,Sabbath in Paradise,2000
tt0156263,The Adventures of Space Baby and Mental Man,2004
tt0156376,Book of Love: The Definitive Reason Why Men Are Dogs,2002
tt0156757,Mad About Mambo,2000
tt0156812,My Dog Skip,2000
tt0157122,Faithless,2000
tt0157500,Daddy Tell Me a Story...,2000
tt0157583,Enigma,2001
tt0158033,Nora,2000
tt0159254,April's Fool,2001
tt0159273,Behind Enemy Lines,2001
tt0159290,Bluebird,2004
tt0159365,Cold Mountain,2003
tt0159371,Impact,2000
tt0159784,Takedown,2000
tt0159799,Whirlwind 2,2006
tt0160240,Easter,2002
tt0160261,False River,2005
tt0160275,Final Solution,2001
tt0160399,Impostor,2001
tt0160413,It Burns When I Laugh,2003
tt0160425,Killing Cinderella,2000
tt0160480,Long Lost Love,2001
tt0160550,Moscow,2000
tt0160607,Open Return,2000
tt0160611,Ordinary Decent Criminal,2000
tt0160710,Punks,2000
tt0160749,Red Dirt,2000
tt0160751,The Redemption,2000
tt0160759,Breathing Under Water,2000
tt0160797,Rules of Engagement,2000
tt0161021,Pure,2005
tt0161081,What Lies Beneath,2000
tt0161102,Working Stiff,2001
tt0161216,Steal This Movie,2000
tt0161509,Slice & Dice,2000
tt0161860,Nowhere in Africa,2001
tt0162222,Cast Away,2000
tt0162346,Ghost World,2001
tt0162862,"António, Um Rapaz de Lisboa",2002
tt0163141,Enchanted Interlude,2000
tt0163745,The Debut,2000
tt0163764,Net Worth,2001
tt0163978,The Beach,2000
tt0164003,City of Ghosts,2002
tt0164182,The Stonecutter,2000
tt0164184,The Sum of All Fears,2002
tt0164212,Under Suspicion,2000
tt0164334,Along Came a Spider,2001
tt0164555,Early Bird Special,2001
tt0164953,Urban Mythology,2000
tt0164961,Vidocq,2001
tt0165186,Couch Taters,2000
tt0165361,Highway,2002
tt0165713,The Distinct Smell of Red,2001
tt0165832,Interstate 60: Episodes of the Road,2002
tt0165899,No Pills in Happyland,2001
tt0165929,Romeo Must Die,2000
tt0165982,Sinbad: Legend of the Seven Seas,2003
tt0166013,When the Sky Falls,2000
tt0166339,Screenland Drive,2000
tt0166649,Holgi,2000
tt0166709,Posthumous Memories,2001
