tconst,primaryTitle,startYear
tt0064322,The Woman with the Knife,2010
tt0069049,The Other Side of the Wind,2018
tt0100275,The Wandering Soap Opera,2017
tt0116991,Mariette in Ecstasy,2019
tt0137204,Joe Finds Grace,2017
tt0146592,Pál Adrienn,2010
tt0159369,Cooper and Hemingway: The True Gen,2013
tt0162942,Children of the Green Dragon,2010
tt0170651,T.G.M. - osvoboditel,2018
tt0176694,The Tragedy of Man,2011
tt0208056,Cinétracts,2014
tt0230212,The Final Journey,2010
tt0276568,To Chase a Million,2018
tt0283440,Short Time Heroes,2015
tt0293069,Dark Blood,2012
tt0297400,Snowblind,2015
tt0305295,Bich bozhiy,2019
tt0315642,Wazir,2016
tt0326592,The Overnight,2010
tt0326716,5-25-77,2017
tt0328810,My Land,2018
tt0329539,Rice Girl,2014
tt0330811,Regret Not Speaking,2011
tt0330987,"Tiden är en dröm, del 2",2014
tt0331312,This Wretched Life,2010
tt0337692,On the Road,2012
tt0337882,Blind Sided,2010
tt0337926,Chatô - The King of Brazil,2015
tt0338258,Instruments of Darkness,2014
tt0346045,Transeúntes,2015
tt0359950,The Secret Life of Walter Mitty,2013
tt0364201,Aman Ke Farishtey,2016
tt0365545,Nappily Ever After,2018
tt0365907,A Walk Among the Tombstones,2014
tt0369610,Jurassic World,2015
tt0372538,Spy,2011
tt0374682,"Gombrowicz, l'Argentine et moi",2019
tt0376136,The Rum Diary,2011
tt0376479,American Pastoral,2016
tt0385887,Motherless Brooklyn,2019
tt0396123,Den milde smerte,2010
tt0398286,Tangled,2010
tt0400320,The Connecticut Kid,2011
tt0401729,John Carter,2012
tt0406282,Bubbles,2011
tt0407194,Seven Fallen Objects,2011
tt0409379,In Secret,2013
tt0409847,Cowboys & Aliens,2011
tt0417610,Asleep in the Sun,2010
tt0417750,Hempsters: Plant the Seed,2010
tt0420293,The Stanford Prison Experiment,2015
tt0424859,The Ninth Cloud,2014
tt0425785,El borde del tiempo,2011
tt0426566,Pots and Pans,2012
tt0427543,A Million Little Pieces,2018
tt0429493,The A-Team,2010
tt0430524,The Rescuer,2011
tt0432010,The Queen of Sheba Meets the Atom Man,2018
tt0433035,Real Steel,2011
tt0433787,L'apocalisse delle scimmie,2012
tt0435651,The Giver,2014
tt0435761,Toy Story 3,2010
tt0436230,Mexican Devil,2010
tt0436782,A Life in the Death of Joe Meek,2013
tt0437086,Alita: Battle Angel,2019
tt0439724,Moving Target,2011
tt0441779,My Nappy Roots: A Journey Through Black Hair-itage,2010
tt0441881,Danger Close,2019
tt0443272,Lincoln,2012
tt0443465,Before We Go,2014
tt0443533,The History of Love,2016
tt0444531,Vidas pequeñas,2010
tt0445054,7 Days,2010
tt0446029,Scott Pilgrim vs. the World,2010
tt0448022,A Bird of the Air,2011
tt0448115,Shazam!,2019
tt0448694,Puss in Boots,2011
tt0451108,Mad World,2010
tt0451279,Wonder Woman,2017
tt0452183,Blunt Movie,2013
tt0453562,42,2013
tt0454155,El hada buena - Una fábula peronista,2010
tt0454876,Life of Pi,2012
tt0455323,Being Flynn,2012
tt0455407,The Crazies,2010
tt0455944,The Equalizer,2014
tt0457591,Memorias del desarrollo,2010
tt0458339,Captain America: The First Avenger,2011
tt0458413,A Long Way Down,2014
tt0458481,Frank Miller's Sin City: A Dame to Kill For,2014
tt0459748,Generation P,2011
tt0460528,One Step Beyond: The True Story of Géraldine Fasnacht,2012
tt0460809,The Grasslands,2011
tt0460890,The Only Living Boy in New York,2017
tt0460957,Texxas Jam '78,2012
tt0464032,"Guns, Drugs and Dirty Money",2010
tt0464054,House at the End of the Drive,2014
tt0464891,Act Your Age,2011
tt0465637,Taken by Force,2010
tt0466553,Golapi Ekhon Bilatey,2010
tt0466893,Margaret,2011
tt0469021,Alan Partridge,2013
tt0469158,Platinum Illusions,2011
tt0470752,Ex Machina,2014
tt0471042,Tower Heist,2011
tt0472399,The Mechanic,2011
tt0473075,Prince of Persia: The Sands of Time,2010
tt0473088,Stan,2011
tt0473122,Bamboo Shark,2011
tt0473343,Cielito lindo,2010
tt0475239,Clutch,2012
tt0475290,"Hail, Caesar!",2016
tt0476023,Stiffs,2010
tt0477080,Unstoppable,2010
tt0477302,Extremely Loud & Incredibly Close,2011
tt0478304,The Tree of Life,2011
tt0478660,El horror de la dama del lago,2010
tt0478970,Ant-Man,2015
tt0479051,The Greater Meaning of Water,2010
tt0479807,Abhishapt,2011
tt0480255,The Losers,2010
tt0481470,Felix Austria!,2013
tt0481499,The Croods,2013
tt0482459,Bandage,2010
tt0483586,Chasing 3000,2010
tt0483740,Monkey Man,2011
tt0485061,U Want Me 2 Kill Him?,2013
tt0485521,Sushi in Suhl,2012
tt0486622,Making Change,2012
tt0490199,PrimeMates,2010
tt0490215,Silence,2016
tt0491203,Tulip Fever,2017
tt0493405,Chips,2017
tt0493949,Ramona and Beezus,2010
tt0494229,Good Sharma,2010
tt0495037,O Inimigo Sem Rosto,2010
tt0756727,Who Is Harry Nilsson (And Why Is Everybody Talkin' About Him?),2010
tt0758752,Love & Other Drugs,2010
tt0770703,What's Your Number?,2011
tt0770802,Samsara,2011
tt0770819,She's Out of His Mind,2011
tt0770828,Man of Steel,2013
tt0772175,Jersey Justice,2014
tt0774519,The Chosen Heaven,2010
tt0775489,The Illusionist,2010
tt0775543,Night Catches Us,2010
tt0780504,Drive,2011
tt0780548,Kid Cannabis,2014
tt0783640,The Last Full Measure,2019
tt0787442,The Attack,2012
tt0787474,The Boxtrolls,2014
tt0787524,The Man Who Knew Infinity,2015
tt0790636,Dallas Buyers Club,2013
tt0790653,Elliot Loves,2012
tt0790663,The First Grader,2010
tt0790724,Jack Reacher,2012
tt0790770,Miles Ahead,2015
tt0790788,The Yellow Wallpaper,2012
tt0795459,Wilde Salomé,2011
tt0798817,13,2010
tt0800054,The Guardians,2010
tt0800325,The Dirt,2019
tt0800353,Nemesis,2010
tt0800369,Thor,2011
tt0803061,Red Dog,2011
tt0803096,Warcraft,2016
tt0804463,Devil's Knot,2013
tt0804483,Folk!,2010
tt0804497,It's Kind of a Funny Story,2010
tt0805617,Spoon,2011
tt0808245,A Letter to Elia,2010
tt0808447,The Last Pogo Jumps Again,2013
tt0810819,The Danish Girl,2015
tt0810836,Dirt Music,2019
tt0810856,Eyes of the Mothman,2011
tt0810922,Take Me Home Tonight,2011
tt0811069,Lavoe,2011
tt0811137,The Do-Deca-Pentathlon,2012
tt0811613,Meridian Lines,2013
tt0813992,American Flyer,2010
tt0815101,Ashes,2010
tt0815236,She's Out of My League,2010
tt0816362,Card Subject to Change,2010
tt0816442,The Book Thief,2013
tt0816648,Shanghai Hotel,2011
tt0816692,Interstellar,2014
tt0816711,World War Z,2013
tt0817177,Flipped,2010
tt0818172,Soupernatural,2010
tt0821486,Manhattan Minutiae,2016
tt0825282,The Long Falling,2011
tt0825334,Caravaggio and My Mother the Pope,2018
tt0826532,Return to Yucca Flats: Desert Man-Beast,2010
tt0828135,Wild in the Streets,2012
tt0829150,Dracula Untold,2014
tt0831387,Godzilla,2014
tt0831881,Land,2010
tt0837156,Pee-wee's Big Holiday,2016
tt0837562,Hotel Transylvania,2012
