tconst,genre,plot
tt10044182,"['Action', 'Horror', 'Thriller']","Several news reports that an unknown viral epidemic has been sweeping the Philippines. Meanwhile, Mario brings his daughter PJ, a medical student, to her first day in her senior year at San Lazaro University. Due to his previous work as an OFW and his inability to pay his daughter's tuition, Mario has a strained relationship with PJ, who is still traumatized from failing to save her mother from a fatal stroke. She reunites with her blockmates in Block Z: fellow med students and longtime friends Erika and Myles, and Block Z basketball team captain Lucas, who harbors feelings for PJ. Mario accidentally hits a pedestrian who secretly intended to scam him of money, but Mario instead brings the man to San Lazaro's hospital, where he meets with PJ again.PJ and Erika are assigned to take care of Angie, a mother who has what appears to be a human bite in her leg. Angie suddenly has a seizure and dies shortly after, and PJ goes to comfort Angie's young daughter Ruby over her mother's death. Myles and fellow student Gary head over to bring Angie's body to the morgue, but Angie reanimates and bites Gary's neck, causing Myles to flee. Angie begins attacking other people in the hospital, causing others to be infected and reanimate as undead, forcing Mario and the pedestrian to flee together. The undead begins slaughtering several students and personnel around the university, including Lucas' team where he emerges as the only survivor. Lucas meets Mario and the pedestrian, but the latter had been bitten and turned, forcing the two to kill him. The two then separate, with both intending to find PJ. Student council president Gelo calls his general father for evacuation via helicopter on the hospital's helipad and tells his vice president Vanessa not to tell anyone as he only informed his father to make room for the two of them. Despite this, Vanessa secretly informs the university councilors to spread the word. Lucas manages to find PJ with Erika and Myles and the four work together to flee the school. The military quarantines the university, but they are forced to kill both zombies and students fleeing from the front gate.Gelo confronts Vanessa for telling the university body about his helicopter, and Vanessa chastises him for looking out for himself when he has the resources to help everyone. They scuffle and Gelo accidentally pushes Vanessa off a staircase, killing her; when PJ's group stumbles upon the scene, Gelo lies and says she was infected and had to take her out in self-defense, and he joins the group. The group plans their route to the hospital, but when they become overwhelmed with zombies, they are rescued by Mario in the school's church. Mario has managed to hole up in the church with Ruby and security guard Bebeth. Gelo reveals that people have to be left behind as his helicopter can only fit two people, which angers the others in the process before the group convinces him that he needs them to survive.The group passes by the faculty next, but when Ruby sees her zombified mother, she rushes to her and alerts the herd to their location. Ruby is devoured in the process, and the others are forced to leave when Gelo goes to the faculty and locks them out. The group temporarily rests in the dormitory, where they reminisce on their past and PJ and Mario reconcile, but a zombie attacks and bites Mario before it is killed. Mario tells the group to kill him to prevent him from turning, but the group opts to lock him inside the dorm's closet, and he says his final goodbyes to PJ before they leave him. Although the group manages to discover the zombies' weaknesses to headshots and water, their numbers begin dwindling: Myles is mortally wounded by a stray zombie and makes a last stand before he is killed, Bebeth stays behind fending off zombies from the others, and Erika sacrifices herself to let PJ and Lucas escape. The two manage to reach the hospital's rooftop, where Lucas lifts PJ to the helipad before using himself as bait to lure zombies away by jumping off the building.A sorrowful PJ loses consciousness and awakens the next day with no helicopter in sight. She sees that she has a bite mark in her hand and realizes that she is immune to the virus, so she fights her way back to the dorms, killing several zombies including Angie in the process. PJ reunites with Mario, who is also immune, and the two decide to explore an ancient tunnel underneath the church that Ruby had previously discovered. There, they encounter Gelo, who is delirious from being infected and jaded from being seemingly abandoned by his father. The two manage to evade him and escape through a manhole and leave Gelo to be devoured by approaching zombies. PJ and Mario realize that the infection has spread beyond the university into the wider city, and they arm themselves.News reports begin sharing the zombie's vulnerability to water. Bebeth broadcasts a message that she had survived. A large typhoon engulfs the Philippines, weakening and killing many of the undead in the process. Two weeks after the typhoon, a group of raiders discovers a heavily injured but still-alive Lucas, and their leader decides to take him in."
tt10122486,"['Comedy', 'Horror']","I Need You Dead! follows the story of a young punk named DOOD. After a moment of total teenage angst, he births a strange fleshy creature... it mocks him, hurts him, and takes over his whole world... DOOD must find some way to rid of this evil monster before it convinces DOOD to rid of himself! I Need You Dead! follows the story of a young punk named DOOD. After a moment of total teenage angst, he births a strange fleshy creature... it mocks him, hurts him, and takes over his whole world... DOOD must find some way to rid of this evil monster before it convinces DOOD to rid of himself! I Need You Dead! follows the story of a young punk named DOOD. After a moment of total teenage angst, he births a strange fleshy creature... it mocks him, hurts him, and takes over his whole world... DOOD must find some way to rid of this evil monster before it convinces DOOD to rid of himself! I Need You Dead! follows the story of a young punk named DOOD. After a moment of total teenage angst, he births a strange fleshy creature... it mocks him, hurts him, and takes over his whole world... DOOD must find some way to rid of this evil monster before it convinces DOOD to rid of himself! I Need You Dead! follows the story of a young punk named DOOD. After a moment of total teenage angst, he births a strange fleshy creature... it mocks him, hurts him, and takes over his whole world... DOOD must find some way to rid of this evil monster before it convinces DOOD to rid of himself! I Need You Dead! follows the story of a young punk named DOOD. After a moment of total teenage angst, he births a strange fleshy creature... it mocks him, hurts him, and takes over his whole world... DOOD must find some way to rid of this evil monster before it convinces DOOD to rid of himself!"
tt1051906,"['Horror', 'Mystery', 'SciFi', 'Thriller']","Trapped in an abusive relationship with her fiendish and violent husband, an optics scientist named Adrian Griffin, Cecilia Kass escapes from him in the dead of night with the help of her sister Emily. Cecilia has drugged Adrian with Diazepam but as she escapes, Cecilia frees their dog which sets off the house's alarms and wakes up a furious Adrian who pursues her. As she escapes with Emily, Cecilia leaves the drug bottle behind which Adrian finds lying in the road.Two weeks later, Cecilia lives in hiding at the household of her best friend James Lanier and his teenage daughter Sydney. Remaining a recluse who is afraid of leaving the house, Cecilia freaks out when Emily comes to visit, believing Adrian will try to harm her. However Emily shares the news that Adrian committed suicide. His brother Tom bequeaths to Cecilia his late brother's fortune and estate which Cecilia only accepts to fund Sydney's college tuition and James' household. However, Cecilia is filled with an uneasy feeling that she is being watched and, in the night, is stalked by an unseen force which only she recognizes. In the middle of the night, while asleep next to Sydney, the comforter is slowly pulled off and several flashes of light are seen. Cecilia wakes up and is suspicious about the blankets at the foot of the bed. When she tries to take them back, they won't move. Her reaction wakes up both Sydney and James but she's unable to explain what she thinks she'd seen.Cecilia goes to a job interview for an architect's position. When she opens her portfolio to show her work, Cecilia finds it gone and faints. After going to the hospital, Cecilia discovers that she was drugged. Upon returning home she receives a call from the doctor telling her she had enough Diazepam in her system to constitute a mild overdose that caused her fainting spell. She suddenly finds the bottle of Diazepam Adrian had uncovered. Feeling unsafe, Cecilia visits Emily who is angry and despondent to her, having received a hateful email from Cecilia's account. Cecilia looks on her email, discovers the sent message and has an emotional breakdown. Sydney tries to cheer her up but is assaulted by an unseen force, causing Sydney freak to out and believe Cecilia did it. James then decides to take Sydney out of the house to a safer place. Meanwhile, Cecilia investigates the house and finds her work in the attic crawl space as well as a large kitchen knife of James' and several photos of her asleep which have been taken by an unseen stalker.Realizing she is not alone, Cecilia dumps a bucket of paint on the ladder when she senses movement and uncovers a man's shape wearing some kind of suit. The man flees and washes off the paint before Cecilia exits the attic. The two fight until Cecilia breaks free from his grasp and escapes the house, getting into a Lyft car she has called . Cecilia has the driver bring her to Adrian's. Upon entering her husband's house and sneaking into his laboratory, Cecilia discovers a high-tech suit he was working on that could make him invisible. Cecilia takes this suit and hides it but is attacked by the Invisible Man until her dog returns and intervenes, buying her time to escape.Cecilia sets up a meeting with Emily at a restaurant and apologizes while also explaining that she loves her. Emily's skepticism starts to melt as they begin to bond and Cecilia explains that she found an invisible suit at Adrian's lab. Suddenly, a large knife is dragged across Emily's throat killing her. The knife is placed in Cecilia's hand, who is then arrested and moved to a sanitarium. Now doubting her own sanity and finding out she is pregnant with Adrian's child, Cecilia gives in but is then confronted by Tom who explains he was working with his brother the whole time. Tom says that she will lose the fortune and be admitted permanently to this institution unless she returns to Adrian with his child. Cecilia refuses, still enraged that he killed her sister. Tom leaves but not before Cecilia steals one of his pens.In her room, Cecilia prepares to kill herself by slashing her wrist with the pen but the invisible man stops her. Having pulled him out of hiding by using herself as bait, Cecilia stabs him with the pen twice, causing his suit to glitch and for him to appear and disappear at random. A security guard enters to stop her but is stunned by the glitching figure who beats him down. Cecilia rushes out into the hall and is stopped by several security guards who also see the glitching figure. The Invisible Man easily overpowers them before escaping into the stormy night. Cecilia tracks him down but he overpowers her and tells her that he will now set his sights on Sydney.Cecilia warns James of the danger and he rushes home to see an unseen figure attacking his daughter. James tries to intervene but is beaten horribly in front of a terrified Sydney. Cecilia breaks in and sprays the figure with a fire extinguisher, revealing his shape before unloading on him with a fallen officer's pistol. The Invisible Man falls to the floor and dies of his wounds. Cecilia unmasks The Invisible Man, revealing him to be Tom. Adrian is found tied and walled up in his house when a SWAT team storms his place. James explains that the evidence suggests that Tom used his brother to get at Cecilia but she is still convinced that Adrian and Tom were working together and that in case the worst happened, Adrian set it up that Tom would take the fall.Still stressed from the series of events, Cecilia calls Adrian and agrees to meet him for dinner. Cecilia is wearing a listening device hoping to find a way to get a confession out of him with the help of James, who is positioned outside the property. Cecilia asks him if he was stalking her but Adrian denies it at first and infers inadvertently that he was indeed preying upon her. As Cecilia excuses herself to the bathroom, Adrian begins to realize something else is up when suddenly his head is jerked back and his throat is slashed. Adrian collapses to the ground, bleeding to death. Cecilia enters the room and appears shocked before calling the police, reporting an attack in a panicky tone. Cecilia then gloats over Adrian's dying body and infers that she did this using his invisible suit. James rushes in and finds Cecilia escaping with Adrian's suit and dog. Upon discovering that she set this up with the plan of murdering him, James lets her go nonetheless. Cecilia leaves into the night, perhaps with the plan of stealing her husband's work for her own future benefit."
tt10608770,"['Crime', 'Thriller']","One night four friends went to a nightclub for a night out. While Sandy was dancing with his girlfriend Misha, Sunny got obsessed with Misha and made a plan to send Sandy off to his father from the hotel. Rohit tried to stop him but Sunny drugged Misha and raped her. In the process, Misha became unconscious so they thought she was dead. Meanwhile, Sandy came back and found Misha was dead. Sunny and Sandy started fighting. Rohit tried to stop Sunny who was ruthlessly beating Sandy. However, before he could do anything, Sandy died on the spot due to head injuries. Rohit became angry with Sunny for killing the couple. Sunny warned Rohit to keep quiet and throw the body of Sandy in a large bag. Just when Sunny was about to go out of the room, the receptionist of the hotel knocked on the door. He asked sunny if there is something they need however he asked him to leave. Ratan questioned his action. Meanwhile, Ratan brought the hotel manager to the room. They made a search in the room but found nothing. The manager asked Ratan to keep an eye on them. Meanwhile, Rohit was confused and decided to run away from the hotel. As he walks toward the exit, Sunny comes back and finds his runaway intentions. He dragged him inside the hotel room. As they return back, Misha's body was nowhere to be found. Sunny suspected Rohit for letting her go. Rohit begged that he didn't know what had happened. Both of them search in the hotel. Meanwhile, Ratan Kumar while doing his routine work accidentally found Misha in the storeroom. He hurried for help but before he could do anything, Sunny killed him. Sunny continues searching Misha and found her. He beats her brutally. In order to save herself from Sunny, Misha has to kill him."
tt10715268,['Documentary'],"In MISTER SOUL - A STORY ABOUT DONNY HATHAWAY director David Kleijwegt searches for the soul of legendary singer Donny Hathaway: in a poetic journey through cities like St. Louis, Chicago and New York, the film digs deeper and deeper into his life, up until its tragic end.
--
MISTER SOUL - A STORY ABOUT DONNY HATHAWAY descends into the soul of legendary American soul singer Donny Hathaway, who is seen by many musicians as an inspiration and genius. At the time of his greatest success, he was diagnosed with paranoid schizophrenia, which didn't stop him from continuing to make harmonious music. How did he balance between his madness and genius? Can there be such a thing as too much talent?Music magazine Rolling Stone called Hathaway a ""soul legend"" and Justin Timberlake thinks he is ""the best singer of all time"". Yet few people will remember Donny Hathaway as Roberta Flack's duet partner, Stevie Wonder's predecessor or the composer who managed to mix jazz and gospel into lavish soul music. His suicide in 1979 at the age of 33 by a fall from his hotel room has condemned him to the status of a 'musician's musician'.The documentary follows the same path of life as Hathaway himself: through a poetic journey embarking on cities like St. Louis, Chicago and New York, MISTER SOUL plunges deeper and deeper into Hathaway's life, up until his tragic end. Besides his brother and sisters, singer Roberta Flack, preacher Jesse Jackson and producer James Mtume, among others, talk about the genius and madness of the singer."
tt11239374,['Thriller'],"Scumbag
Thou shalt not steal. Thou shalt not commit adultery. Thou shall not kill.Idea:
A film inspired by life. And death. Based on the bestseller by Arpád Soltész.
A story of sex, death and money in one small European country.Synopsis
A small, picturesque, mountainous country is controlled by highly placed criminals, people linked to politics, the mafia and also the police, judges and big business.
A teenage drug addict disappears from a resocialization centre - nobody misses her. She wants to tell the police about being forced into sex and drug taking, but they send her away. She finds a journalist, who starts to unravel an incredible web of crime, gangsters and extortion.
A talented politician becomes prime minister and controls the whole country, because those in power also control the police and government contracts. A small-time black marketeer becomes a major blackmailer who uses people like pawns on a chessboard.
But can truth prevail among people who only care for money and power? Or does God turn a blind eye to murder and greed?Plot outline
The story takes place in a country where anything goes.
Drugged girls become playthings for influential men, both from the underground and from the top echelons of politics. Fortunes can be made from government contracts, and blackmail is just another kind of business.
Power is the best way to protect your people from the police and the courts. If you have power, you can do anything. In this country some will do well. Very well.
And sticking your nose into things can be fatal.
Life is sometimes cheap; death is just another commodity."
tt11312640,['Documentary'],"Tenere is about the true story of African people who are setting off on a journey from Agadez of Niger trying to reach Libya and Europe crossing the desert. We are witnessing the difficult journey of Bashir from Agadez and his fellowmen that lasts for days on a truck which reminds us of Noah's Arc. We see their preparations before the journey, their relationships with their families, how they struggle with dire conditions of the rough terrain, thirst and the difficulties they encounter during the journey and the emotional transformation they experience.Tenere is the name of the region where they make this journey in the Sahara desert. It is an area of approximately 400,000 km². It means ""Desert of the Deserts"" in Touareg language. The region is so desolate and full of nothing that the distance between the closest trees is at least 400 km. The distance between two water wells is 200 km. This is a region which will turn the idea of a desert upside down. It resembles an ocean. An ocean in the form of sand...It takes 10 to 15 days for a truck to reach from Agadez to Libya. Some of the locals and migrants trying to cross the desert either get lost or cannot move any further due to a breakdown in their vehicle and die of thirst. In the last three years, more than 20,000 people have been rescued in the region who were about to die of thirst. No one knows the actual death toll.To die of thirst and to get lost are not the only hazards, there are also the bandits. They confiscate the vehicles that they get hold of and rob the passengers, sometimes they even kill them.In the film, Tenere, we watch it from inside, moreover we experience the film as a passenger doing the journey, not from outside. There is no prepared text, actor or a narrator in the film. Everything is real"
tt11364376,['Documentary'],"A green space in the middle of a metropolis, the Bucharest Delta is an abandoned reservoir in which wildlife has grown to become a rare urban ecosystem. For the last two decades, the eleven members of the Enache family have made this place their home, sleeping in a hut on a lake shore, getting up with the sun, following the rhythm of seasons and catching fish and turtles barehanded. When the family is asked to leave this place and bulldozers come to destroy their home, they have to move and adapt to a new city life. Fishing rods are replaced by smartphones, idle afternoons in the sun are now spent in classrooms and family links are hard to keep together.
With their roots in the wilderness, the nine Enache children and their parents need to find a way to flourish on the asphalt.Acasa My Home tells the story of a family that lived for 20 years in the wilderness of Vacaresti Delta, until the place gained the status of a protected area - Vacaresti Natural Park - the first urban natural park in Romania.
For four years, director Radu Ciorniciuc followed the Enache family through their great adventure: from a life in complete harmony with nature to the life full of challenges in the great urban jungle of the capital. At the same time, the film team also developed a social project to which many specialists and humanitarian organizations contributed, so that now, all nine children of the Enache family have documents, go to school, are regularly seen by doctors, and the adults have permanent jobs."
tt11369498,['Drama'],"In a rural Bengali village soaked with tradition, Bachchu lives a happy, carefree existence with his loving young wife and bright school-age son. He's shown as a little simple-minded, like when he joyfully chases passing airplanes like a small child or stops to help an artist paint a roadside shrine for the sheer fun of it. But he's lucid enough to tell his son to study and not grow up to be a laborer like he is.Bachchu is prized as a car mechanic, but he often cuts work to be with his wife. Tender scenes of them lying in bed show how they're still very much in love. There is mystery in the forest. The appearance of strange costumed dancers brings the first hint of the supernatural into Bachchu's world. Then another group of dancing forest spirits follows him curiously to watch what happens when he comes upon the old airplane covered with leaves. He can't resist its allure. First he scrubs and paints it, then yearns to fit it with an engine and fly it. When he shows it to his wife, she looks amazed; when his boss at the garage sees it, he laughs in disbelief. A plane engine is expensive, he says, but Bachchu quickly retorts that he will sell his house - even if it means putting his wife and son out on the streets.As he works obsessively on the plane, the forest spirits warn him not to go overboard. Unfortunately, none of their hard-learned wisdom curbs Bachchu's infatuation with the airplane and he continues on his collision course with destiny.He eventually gets entangled with some serious dream-busters: the police. First, they remind him the plane is government property, like everything else in India. Then they arrest him for wanting to fly a war plane and drop bombs on people. His dream of restoring the plane for peaceful flights, a ""song of the sky,"" crashes against the brick wall of heartless authority."
tt11390102,['Documentary'],"Vivos is a documentary feature film by artist and filmmaker Ai Weiwei, portraying the human impact of Mexico's ongoing crisis of enforced disappearances.
On the night of September 26, 2014, a convoy of students from Ayotzinapa Rural Teachers' College in drug cartel-afflicted Guerrero state, travelling in buses in the city of Iguala, were brutally attacked by police forces and other masked assailants. In the course of the night, six people were killed, dozens more were wounded, and 43 students were forcibly disappeared.
Featuring interviews with family members and surviving classmates, as well as human rights experts and international investigators involved with the case, Vivos depicts the emotional impasse the families experience. As they face the still unaccounted-for absence of their loved ones, their family lives irrevocably fractured, the pain of their loss is compounded by the investigating authorities' repeated attempts to mislead and to obstruct the official investigation.
The latest of Ai Weiwei's films highlighting issues of systemic injustice, Vivos documents the aspirations, communal solidarity, and day-to-day lives of the grief- stricken but determined families, as they demand the authorities provide answers about the crimes committed that night and disclose the whereabouts of the missing students.
United behind the rallying cry, 'Alive, they took them! Alive, we want them back!', the families' tragic but defiant struggle embodies the psychological and emotional toll of endemic violence on Mexican society, where disappearances have become a national crisis, with over 40,000 persons officially missing as of 2018. Wrestling with the gross abuses of institutional power that pervade Mexican society, with its staggering contrasts of power and poverty, and the crimes and impunities that permeate public life, the mass demonstrations led by the families of the missing 43 students blossom as a defiant assertion of life."
